"","Country","Female","Male","Absolute_Difference","Relative_Difference"
"1","Albania",18.5,17.3,1.2,6.70391061452514
"2","Armenia",14.5,19.1,4.6,27.3809523809524
"3","Austria",21.1,20.4,0.700000000000003,3.37349397590363
"4","Azerbaijan",26.5,25,1.5,5.8252427184466
"5","Belgium",18.2,16.1,2.1,12.2448979591837
"6","Bulgaria",33,35.1,2.1,6.16740088105727
"7","Croatia",21.4,22.8,1.4,6.33484162895929
"8","Czechia",18.5,16.5,2,11.4285714285714
"9","Denmark",14.7,11.9,2.8,21.0526315789474
"10","Estonia",29.8,29.7,0.100000000000001,0.336134453781517
"11","Finland",24.2,27.5,3.3,12.7659574468085
"12","France",15.5,12.8,2.7,19.0812720848056
"13","Georgia",19.8,17.5,2.3,12.3324396782842
"14","Germany",20.9,20.7,0.199999999999999,0.961538461538458
"15","Greece",20.8,18.4,2.4,12.2448979591837
"16","Hungary",28.2,27.1,1.1,3.97830018083182
"17","Iceland",11.4,12.3,0.9,7.59493670886076
"18","Ireland",32.4,32.3,0.100000000000001,0.30911901081917
"19","Italy",11.7,11.4,0.299999999999999,2.59740259740259
"20","Kazakhstan",16.1,15.3,0.800000000000001,5.09554140127389
"21","Latvia",49.1,44.1,5,10.7296137339056
"22","Lithuania",51.4,50.9,0.5,0.977517106549365
"23","Luxembourg",23.1,20.8,2.3,10.4783599088838
"24","Malta",21.5,28.5,7,28
"25","Netherlands (Kingdom of the)",11.5,12.1,0.6,5.08474576271186
"26","North Macedonia",17.7,18.5,0.800000000000001,4.41988950276243
"27","Norway",14,15.7,1.7,11.4478114478114
"28","Poland",18.1,23.4,5.3,25.5421686746988
"29","Portugal",18.7,17.2,1.5,8.35654596100279
"30","Republic of Moldova",43.7,43.4,0.300000000000004,0.688863375430549
"31","Romania",30.1,30.9,0.799999999999997,2.62295081967212
"32","Russian Federation",35.3,31.4,3.9,11.6941529235382
"33","Serbia",18.6,17.5,1.1,6.09418282548477
"34","Slovakia",19.2,19.6,0.400000000000002,2.0618556701031
"35","Slovenia",23,26.4,3.4,13.7651821862348
"36","Spain",9.3,10,0.699999999999999,7.25388601036269
"37","Sweden",18.5,17.7,0.800000000000001,4.41988950276243
"38","Switzerland",18.1,14.1,4,24.8447204968944
"39","Türkiye",33,39.1,6.1,16.9209431345354
"40","Ukraine",40.7,39.6,1.1,2.73972602739726
"41","United Kingdom",37,37.9,0.899999999999999,2.40320427236315
