"","Country","Mean"
"1","Türkiye",14.7
"2","Georgia",13.9
"3","Kyrgyzstan",12.9
"4","Republic of Moldova",12.2
"5","Albania",11.8
"6","Azerbaijan",11
"7","Ukraine",9.1
"8","Tajikistan",8.7
"9","North Macedonia",7.5
"10","Kazakhstan",7
"11","Turkmenistan",6.1
"12","Montenegro",5.8
"13","Serbia",5.5
"14","Armenia",5.3
"15","Bosnia and Herzegovina",3.5
"16","Uzbekistan",3.4
"17","Denmark",0.7
"18","Lithuania",0.4
"19","Finland",0.1
"20","Belgium",0
"21","Norway",0
"22","United Kingdom of Great Britain and Northern Ireland",0
"23","Austria",NA
"24","Bulgaria",NA
"25","Croatia",NA
"26","Cyprus",NA
"27","Czechia",NA
"28","Estonia",NA
"29","France",NA
"30","Germany",NA
"31","Greece",NA
"32","Hungary",NA
"33","Iceland",NA
"34","Ireland",NA
"35","Italy",NA
"36","Latvia",NA
"37","Luxembourg",NA
"38","Malta",NA
"39","Netherlands (Kingdom of the)",NA
"40","Poland",NA
"41","Portugal",NA
"42","Romania",NA
"43","Slovakia",NA
"44","Slovenia",NA
"45","Spain",NA
"46","Sweden",NA
"47","Switzerland",NA
