"","Country","Mean"
"1","Spain",2.7
"2","Tajikistan",2.2
"3","Republic of Moldova",1.4
"4","Uzbekistan",1.4
"5","Romania",1.2
"6","United Kingdom of Great Britain and Northern Ireland",1.2
"7","Belgium",1.1
"8","Austria",1
"9","Cyprus",0.9
"10","Kazakhstan",0.9
"11","France",0.8
"12","Serbia",0.8
"13","Greece",0.6
"14","Kyrgyzstan",0.6
"15","Türkiye",0.5
"16","Croatia",0.4
"17","Azerbaijan",0.3
"18","Slovakia",0.3
"19","Ukraine",0.3
"20","Bulgaria",0.2
"21","Ireland",0.2
"22","Poland",0.2
"23","Portugal",0.2
"24","Albania",0.1
"25","Estonia",0.1
"26","Finland",0.1
"27","Georgia",0.1
"28","Hungary",0.1
"29","Iceland",0.1
"30","Latvia",0.1
"31","Lithuania",0.1
"32","Luxembourg",0.1
"33","Malta",0.1
"34","Armenia",0
"35","Bosnia and Herzegovina",0
"36","Czechia",0
"37","Denmark",0
"38","Germany",0
"39","Italy",0
"40","Montenegro",0
"41","Netherlands (Kingdom of the)",0
"42","Norway",0
"43","Slovenia",0
"44","Sweden",0
"45","Switzerland",0
"46","North Macedonia",NA
"47","Turkmenistan",NA
