"","Country","Mean"
"1","Georgia",8.4
"2","Tajikistan",7.83333333333333
"3","Kyrgyzstan",7.53333333333333
"4","Republic of Moldova",6.9
"5","Azerbaijan",6.7
"6","Türkiye",6.66666666666667
"7","North Macedonia",6.55
"8","Albania",6.2
"9","Uzbekistan",5.56666666666667
"10","Turkmenistan",5.45
"11","Ukraine",5.3
"12","Kazakhstan",4.63333333333333
"13","Bosnia and Herzegovina",4.56666666666667
"14","Romania",4
"15","Armenia",3.36666666666667
"16","Serbia",3.36666666666667
"17","Spain",3.35
"18","Montenegro",2.3
"19","Cyprus",2.05
"20","Austria",1.9
"21","France",1.8
"22","United Kingdom of Great Britain and Northern Ireland",1.4
"23","Greece",1.25
"24","Croatia",1.2
"25","Belgium",1.1
"26","Bulgaria",1
"27","Slovakia",0.7
"28","Poland",0.7
"29","Hungary",0.45
"30","Portugal",0.45
"31","Lithuania",0.366666666666667
"32","Latvia",0.35
"33","Malta",0.3
"34","Denmark",0.266666666666667
"35","Ireland",0.25
"36","Luxembourg",0.25
"37","Estonia",0.2
"38","Finland",0.166666666666667
"39","Germany",0.15
"40","Sweden",0.15
"41","Switzerland",0.15
"42","Czechia",0.1
"43","Iceland",0.1
"44","Italy",0.1
"45","Slovenia",0.1
"46","Netherlands (Kingdom of the)",0.05
"47","Norway",0.0333333333333333
