"","Country","Female","Male","Absolute_Difference","Relative_Difference"
"1","Armenia",2.7,4.9,2.2,57.8947368421053
"2","Belarus",3.4,4.6,1.2,30
"3","Georgia",0.9,2.1,1.2,80
"4","Kyrgyzstan",15.6,24.2,8.6,43.2160804020101
"5","Montenegro",6.9,8.4,1.5,19.6078431372549
"6","North Macedonia",1.6,3.4,1.8,72
"7","Serbia",6.8,11.1,4.3,48.0446927374302
"8","Türkiye",0.822,2.852,2.03,110.506260206859
"9","Turkmenistan",0.119,0.393,0.274,107.03125
"10","Uzbekistan",14.537,21.084,6.547,36.7592150697622
