"","Country","Female","Male","Absolute_Difference","Relative_Difference"
"1","Albania",45.4,49.4,4,8.43881856540084
"2","Armenia",66.8,70.8,4,5.81395348837209
"3","Austria",NA,NA,NA,NA
"4","Azerbaijan",73.8,80,6.2,8.06241872561769
"5","Belarus",54.6,59.2,4.6,8.08435852372584
"6","Belgium",NA,NA,NA,NA
"7","Bosnia and Herzegovina",49.5,60.4,10.9,19.8362147406733
"8","Bulgaria",NA,NA,NA,NA
"9","Croatia",NA,NA,NA,NA
"10","Cyprus",NA,NA,NA,NA
"11","Czechia",NA,NA,NA,NA
"12","Denmark",NA,NA,NA,NA
"13","Estonia",NA,NA,NA,NA
"14","Finland",NA,NA,NA,NA
"15","France",NA,NA,NA,NA
"16","Georgia",66.5,71,4.5,6.54545454545455
"17","Germany",NA,NA,NA,NA
"18","Greece",NA,NA,NA,NA
"19","Holy See",NA,NA,NA,NA
"20","Hungary",NA,NA,NA,NA
"21","Iceland",NA,NA,NA,NA
"22","Ireland",NA,NA,NA,NA
"23","Italy",NA,NA,NA,NA
"24","Kazakhstan",49.9,55.2,5.3,10.0856327307326
"25","Kyrgyzstan",73,75.5,2.5,3.36700336700337
"26","Latvia",NA,NA,NA,NA
"27","Liechtenstein",NA,NA,NA,NA
"28","Lithuania",NA,NA,NA,NA
"29","Luxembourg",NA,NA,NA,NA
"30","Malta",NA,NA,NA,NA
"31","Montenegro",65.5,66.1,0.599999999999994,0.911854103343457
"32","Netherlands (Kingdom of the)",NA,NA,NA,NA
"33","North Macedonia",69.5,75.6,6.09999999999999,8.40799448656099
"34","Norway",NA,NA,NA,NA
"35","Poland",NA,NA,NA,NA
"36","Portugal",NA,NA,NA,NA
"37","Republic of Moldova",73.8,77.4,3.60000000000001,4.76190476190477
"38","Romania",NA,NA,NA,NA
"39","Russian Federation",NA,NA,NA,NA
"40","Serbia",42.5,46.3,3.8,8.55855855855855
"41","Slovakia",NA,NA,NA,NA
"42","Slovenia",NA,NA,NA,NA
"43","Spain",NA,NA,NA,NA
"44","Sweden",NA,NA,NA,NA
"45","Switzerland",NA,NA,NA,NA
"46","Tajikistan",67.6,70.3,2.7,3.91588107324148
"47","Türkiye",54.1,56.9,2.8,5.04504504504504
"48","Turkmenistan",67.4,69.7,2.3,3.35521517140773
"49","Ukraine",54.9,67.6,12.7,20.734693877551
"50","United Kingdom",NA,NA,NA,NA
"51","Uzbekistan",60.4,63.9,3.5,5.63153660498793
