"","Country","Year","ISO3","Indicator","Total"
"1","Albania",2022-01-01,"ALB","Human trafficking  -  Total - Children",13.14
"2","Armenia",2021-01-01,"ARM","Human trafficking  -  Total - Children",NA
"3","Austria",2021-01-01,"AUT","Human trafficking  -  Total - Children",0.65
"4","Azerbaijan",2021-01-01,"AZE","Human trafficking  -  Total - Children",NA
"5","Belarus",2022-01-01,"BLR","Human trafficking  -  Total - Children",6.91
"6","Belgium",2022-01-01,"BEL","Human trafficking  -  Total - Children",0.64
"7","Bosnia and Herzegovina",2022-01-01,"BIH","Human trafficking  -  Total - Children",4.48
"8","Bulgaria",2022-01-01,"BGR","Human trafficking  -  Total - Children",2.89
"9","Croatia",2022-01-01,"HRV","Human trafficking  -  Total - Children",2.77
"10","Cyprus",2022-01-01,"CYP","Human trafficking  -  Total - Children",NA
"11","Czechia",2021-01-01,"CZE","Human trafficking  -  Total - Children",0.45
"12","Denmark",2022-01-01,"DNK","Human trafficking  -  Total - Children",0.52
"13","Estonia",2022-01-01,"EST","Human trafficking  -  Total - Children",NA
"14","Finland",2022-01-01,"FIN","Human trafficking  -  Total - Children",1.95
"15","France",2022-01-01,"FRA","Human trafficking  -  Total - Children",3.65
"16","Georgia",2020-01-01,"GEO","Human trafficking  -  Total - Children",NA
"17","Germany",2022-01-01,"DEU","Human trafficking  -  Total - Children",1.39
"18","Greece",2022-01-01,"GRC","Human trafficking  -  Total - Children",3.79
"19","Holy See",2021-01-01,"VAT","Human trafficking  -  Total - Children",NA
"20","Hungary",2022-01-01,"HUN","Human trafficking  -  Total - Children",2.34
"21","Iceland",2020-01-01,"ISL","Human trafficking  -  Total - Children",6.11
"22","Ireland",2022-01-01,"IRL","Human trafficking  -  Total - Children",0.42
"23","Italy",2022-01-01,"ITA","Human trafficking  -  Total - Children",0.74
"24","Kazakhstan",2017-01-01,"KAZ","Human trafficking  -  Total - Children",0.17
"25","Kyrgyzstan",2020-01-01,"KGZ","Human trafficking  -  Total - Children",0.2
"26","Latvia",2022-01-01,"LVA","Human trafficking  -  Total - Children",NA
"27","Liechtenstein",2020-01-01,"LIE","Human trafficking  -  Total - Children",NA
"28","Lithuania",2022-01-01,"LTU","Human trafficking  -  Total - Children",NA
"29","Luxembourg",2022-01-01,"LUX","Human trafficking  -  Total - Children",NA
"30","Malta",2022-01-01,"MLT","Human trafficking  -  Total - Children",NA
"31","Montenegro",2021-01-01,"MNE","Human trafficking  -  Total - Children",3.67
"32","Netherlands (Kingdom of the)",2022-01-01,"NLD","Human trafficking  -  Total - Children",2.13
"33","North Macedonia",2022-01-01,"MKD","Human trafficking  -  Total - Children",1.74
"34","Norway",2020-01-01,"NOR","Human trafficking  -  Total - Children",NA
"35","Poland",2022-01-01,"POL","Human trafficking  -  Total - Children",0.34
"36","Portugal",2022-01-01,"PRT","Human trafficking  -  Total - Children",1.08
"37","Republic of Moldova",2022-01-01,"MDA","Human trafficking  -  Total - Children",5.88
"38","Romania",2022-01-01,"ROU","Human trafficking  -  Total - Children",6.19
"39","Russian Federation",2020-01-01,"RUS","Human trafficking  -  Total - Children",0.55
"40","Serbia",2022-01-01,"SRB","Human trafficking  -  Total - Children",2.01
"41","Slovakia",2022-01-01,"SVK","Human trafficking  -  Total - Children",0.94
"42","Slovenia",2022-01-01,"SVN","Human trafficking  -  Total - Children",NA
"43","Spain",2022-01-01,"ESP","Human trafficking  -  Total - Children",0.19
"44","Sweden",2022-01-01,"SWE","Human trafficking  -  Total - Children",1.3
"45","Switzerland",2022-01-01,"CHE","Human trafficking  -  Total - Children",NA
"46","Tajikistan",2022-01-01,"TJK","Human trafficking  -  Total - Children",0.19
"47","Turkmenistan",2022-01-01,"TKM","Human trafficking  -  Total - Children",NA
"48","Türkiye",2022-01-01,"TUR","Human trafficking  -  Total - Children",0.3
"49","Ukraine",2022-01-01,"UKR","Human trafficking  -  Total - Children",0.17
"50","United Kingdom",2021-01-01,"GBR","Human trafficking  -  Total - Children",38.56
"51","Uzbekistan",2022-01-01,"UZB","Human trafficking  -  Total - Children",0.3
