"","Country","Year","Value"
"1","Albania",2010-01-01,1.79
"2","Belarus",2010-01-01,1.46
"3","Bosnia and Herzegovina",2010-01-01,NA
"4","France",2010-01-01,NA
"5","Republic of Moldova",2010-01-01,3.26
"6","Serbia",2010-01-01,NA
"7","Slovakia",2010-01-01,NA
"8","Tajikistan",2010-01-01,NA
"9","Türkiye",2010-01-01,NA
"10","United Kingdom",2010-01-01,0.6
"11","Uzbekistan",2010-01-01,NA
"12","Albania",2011-01-01,5.19
"13","Belarus",2011-01-01,1.24
"14","Bosnia and Herzegovina",2011-01-01,NA
"15","France",2011-01-01,NA
"16","Republic of Moldova",2011-01-01,2.89
"17","Serbia",2011-01-01,NA
"18","Slovakia",2011-01-01,NA
"19","Tajikistan",2011-01-01,NA
"20","Türkiye",2011-01-01,NA
"21","United Kingdom",2011-01-01,1.16
"22","Uzbekistan",2011-01-01,NA
"23","Albania",2012-01-01,3.58
"24","Belarus",2012-01-01,2.53
"25","Bosnia and Herzegovina",2012-01-01,NA
"26","France",2012-01-01,NA
"27","Republic of Moldova",2012-01-01,3.14
"28","Serbia",2012-01-01,NA
"29","Slovakia",2012-01-01,NA
"30","Tajikistan",2012-01-01,0.2
"31","Türkiye",2012-01-01,NA
"32","United Kingdom",2012-01-01,1.04
"33","Uzbekistan",2012-01-01,0.49
"34","Albania",2013-01-01,6.12
"35","Belarus",2013-01-01,0.78
"36","Bosnia and Herzegovina",2013-01-01,NA
"37","France",2013-01-01,NA
"38","Republic of Moldova",2013-01-01,3.95
"39","Serbia",2013-01-01,NA
"40","Slovakia",2013-01-01,NA
"41","Tajikistan",2013-01-01,0.29
"42","Türkiye",2013-01-01,NA
"43","United Kingdom",2013-01-01,1.28
"44","Uzbekistan",2013-01-01,0.69
"45","Albania",2014-01-01,9.09
"46","Belarus",2014-01-01,0.66
"47","Bosnia and Herzegovina",2014-01-01,5.41
"48","France",2014-01-01,NA
"49","Republic of Moldova",2014-01-01,3.63
"50","Serbia",2014-01-01,NA
"51","Slovakia",2014-01-01,NA
"52","Tajikistan",2014-01-01,0.22
"53","Türkiye",2014-01-01,NA
"54","United Kingdom",2014-01-01,1.19
"55","Uzbekistan",2014-01-01,0.51
"56","Albania",2015-01-01,7.24
"57","Belarus",2015-01-01,0.7
