"","Country","ISO3","Year","Value"
"1","Belgium","BEL",2021,61.82
"2","Bulgaria","BGR",2020,86.1
"3","Estonia","EST",2021,75
"4","Finland","FIN",2021,85.8
"5","France","FRA",2022,82
"6","Germany","DEU",2020,72.1
"7","Iceland","ISL",2022,90.9
"8","Ireland","IRL",2019,75
"9","Italy","ITA",2016,60.6
"10","Kyrgyzstan","KGZ",2022,68.4
"11","Latvia","LVA",2020,75
"12","Luxembourg","LUX",2020,79.18
"13","Poland","POL",2022,11.1
"14","Russian Federation","RUS",2020,90.4
"15","Sweden","SWE",2022,73
"16","Switzerland","CHE",2021,71.6
"17","Türkiye","TUR",2022,61.4
