"","Country","Female","Male","Diff"
"1","Belgium",54.56,69.64,-15.08
"2","Bulgaria",81.4,91.2,-9.8
"3","Estonia",63.6,88,-24.4
"4","Finland",81.4,90,-8.59999999999999
"5","Germany",61.3,83.3,-22
"6","Iceland",86.9,94.9,-8
"7","Ireland",64,87,-23
"8","Italy",46.9,75.4,-28.5
"9","Latvia",67,85,-18
"10","Luxembourg",71.45,86.35,-14.9
"11","Poland",13.6,8.6,5
"12","Russian Federation",87.8,93.4,-5.60000000000001
"13","Sweden",65,82,-17
"14","Switzerland",67.4,75.8,-8.39999999999999
"15","Türkiye",51.1,71.9,-20.8
