"","Country","Female","Male","Diff"
"1","Belgium",62.13,74.39,-12.26
"2","Bulgaria",81.4,91.2,-9.8
"3","Estonia",62.8,88,-25.2
"4","Finland",81.8,90.1,-8.3
"5","Germany",64.7,86.35,-21.65
"6","Iceland",87,94.68,-7.68000000000001
"7","Ireland",64,87,-23
"8","Italy",46.9,75.4,-28.5
"9","Latvia",67,85,-18
"10","Luxembourg",71.45,86.35,-14.9
"11","Poland",37.8,43.7,-5.9
"12","Russian Federation",87,93.3,-6.30000000000001
"13","Sweden",65.2222222222222,82.1111111111111,-16.8888888888889
"14","Switzerland",72.88625,85.415,-12.52875
"15","Türkiye",47.625,70.9625,-23.3375
