"","Country","STD"
"1","Russian Federation",39.7271947159625
"2","Albania",31.3793987620328
"3","Türkiye",23.2289331079439
"4","Germany",16.7406690427832
"5","France",14.2916059279565
"6","Slovakia",8.14452781524708
"7","Spain",5.25991127935317
"8","Czechia",4.57347424467075
"9","Poland",3.77491721763537
"10","Netherlands (Kingdom of the)",2.62995563967658
"11","Ireland",2.38047614284762
"12","Austria",2.16024689946929
"13","Switzerland",2.16024689946929
"14","Azerbaijan",2.12132034355964
"15","Portugal",2
"16","Bulgaria",1.91485421551268
"17","Hungary",1.91485421551268
"18","Croatia",1.89296944860009
"19","Latvia",1.70782512765993
"20","Georgia",1.4142135623731
"21","Italy",1.4142135623731
"22","Bosnia and Herzegovina",1
"23","Denmark",0.957427107756338
"24","Serbia",0.957427107756338
"25","United Kingdom",0.957427107756338
"26","Finland",0.816496580927726
"27","Lithuania",0.816496580927726
"28","Montenegro",0.577350269189626
"29","Kosovo under UNSCR 1244",0.5
"30","Norway",0.5
"31","Estonia",0
"32","Holy See",0
"33","Iceland",0
"34","Liechtenstein",0
"35","Malta",0
"36","North Macedonia",0
"37","Slovenia",0
"38","Uzbekistan",NA
