"Country","Year","Value"
"Austria",2010-01-01,4
"Croatia",2010-01-01,NA
"Czechia",2010-01-01,NA
"Denmark",2010-01-01,NA
"Estonia",2010-01-01,NA
"Finland",2010-01-01,NA
"France",2010-01-01,NA
"Germany",2010-01-01,NA
"Hungary",2010-01-01,NA
"Iceland",2010-01-01,NA
"Ireland",2010-01-01,NA
"Italy",2010-01-01,NA
"Kosovo under UNSCR 1244",2010-01-01,NA
"Latvia",2010-01-01,NA
"Lithuania",2010-01-01,NA
"Malta",2010-01-01,NA
"Montenegro",2010-01-01,NA
"Netherlands (Kingdom of the)",2010-01-01,NA
"Norway",2010-01-01,NA
"Poland",2010-01-01,NA
"Portugal",2010-01-01,3.78625954198473
"Serbia",2010-01-01,16
"Slovakia",2010-01-01,2
"Slovenia",2010-01-01,NA
"Spain",2010-01-01,NA
"Switzerland",2010-01-01,8
"Türkiye",2010-01-01,NA
"United Kingdom",2010-01-01,2
"Austria",2011-01-01,15
"Croatia",2011-01-01,NA
"Czechia",2011-01-01,NA
"Denmark",2011-01-01,NA
"Estonia",2011-01-01,NA
"Finland",2011-01-01,NA
"France",2011-01-01,NA
"Germany",2011-01-01,NA
"Hungary",2011-01-01,NA
"Iceland",2011-01-01,NA
"Ireland",2011-01-01,NA
"Italy",2011-01-01,NA
"Kosovo under UNSCR 1244",2011-01-01,NA
"Latvia",2011-01-01,NA
"Lithuania",2011-01-01,NA
"Malta",2011-01-01,NA
"Montenegro",2011-01-01,NA
"Netherlands (Kingdom of the)",2011-01-01,NA
"Norway",2011-01-01,NA
"Poland",2011-01-01,NA
"Portugal",2011-01-01,4.6060606060606
"Serbia",2011-01-01,4
"Slovakia",2011-01-01,5
"Slovenia",2011-01-01,NA
"Spain",2011-01-01,NA
"Switzerland",2011-01-01,4
"Türkiye",2011-01-01,NA
"United Kingdom",2011-01-01,3
"Austria",2012-01-01,14
"Croatia",2012-01-01,NA
"Czechia",2012-01-01,NA
"Denmark",2012-01-01,NA
"Estonia",2012-01-01,NA
"Finland",2012-01-01,NA
"France",2012-01-01,NA
"Germany",2012-01-01,NA
"Hungary",2012-01-01,NA
"Iceland",2012-01-01,NA
"Ireland",2012-01-01,NA
"Italy",2012-01-01,NA
"Kosovo under UNSCR 1244",2012-01-01,NA
"Latvia",2012-01-01,NA
"Lithuania",2012-01-01,NA
"Malta",2012-01-01,NA
"Montenegro",2012-01-01,NA
"Netherlands (Kingdom of the)",2012-01-01,NA
"Norway",2012-01-01,NA
"Poland",2012-01-01,NA
"Portugal",2012-01-01,7.05785123966943
"Serbia",2012-01-01,4
"Slovakia",2012-01-01,2
"Slovenia",2012-01-01,NA
"Spain",2012-01-01,NA
"Switzerland",2012-01-01,5
"Türkiye",2012-01-01,NA
"United Kingdom",2012-01-01,2
"Austria",2013-01-01,6
"Croatia",2013-01-01,NA
"Czechia",2013-01-01,21
"Denmark",2013-01-01,7
"Estonia",2013-01-01,NA
"Finland",2013-01-01,9
"France",2013-01-01,NA
"Germany",2013-01-01,87
"Hungary",2013-01-01,NA
"Iceland",2013-01-01,0
"Ireland",2013-01-01,NA
"Italy",2013-01-01,22
"Kosovo under UNSCR 1244",2013-01-01,NA
"Latvia",2013-01-01,NA
"Lithuania",2013-01-01,6
"Malta",2013-01-01,NA
"Montenegro",2013-01-01,NA
"Netherlands (Kingdom of the)",2013-01-01,18
"Norway",2013-01-01,4
"Poland",2013-01-01,NA
"Portugal",2013-01-01,10.3917525773196
"Serbia",2013-01-01,11
"Slovakia",2013-01-01,4
"Slovenia",2013-01-01,0
"Spain",2013-01-01,NA
"Switzerland",2013-01-01,4
"Türkiye",2013-01-01,NA
"United Kingdom",2013-01-01,4
"Austria",2014-01-01,2
"Croatia",2014-01-01,NA
"Czechia",2014-01-01,6
"Denmark",2014-01-01,6
"Estonia",2014-01-01,NA
"Finland",2014-01-01,10
"France",2014-01-01,NA
"Germany",2014-01-01,88
"Hungary",2014-01-01,NA
"Iceland",2014-01-01,0
"Ireland",2014-01-01,NA
"Italy",2014-01-01,40
"Kosovo under UNSCR 1244",2014-01-01,NA
"Latvia",2014-01-01,NA
"Lithuania",2014-01-01,9
"Malta",2014-01-01,NA
"Montenegro",2014-01-01,NA
"Netherlands (Kingdom of the)",2014-01-01,6
"Norway",2014-01-01,2
"Poland",2014-01-01,NA
"Portugal",2014-01-01,3.37614678899082
"Serbia",2014-01-01,11
"Slovakia",2014-01-01,3
"Slovenia",2014-01-01,0
"Spain",2014-01-01,NA
"Switzerland",2014-01-01,4
"Türkiye",2014-01-01,NA
"United Kingdom",2014-01-01,10
"Austria",2015-01-01,1
"Croatia",2015-01-01,NA
"Czechia",2015-01-01,5
"Denmark",2015-01-01,9
"Estonia",2015-01-01,NA
"Finland",2015-01-01,4
"France",2015-01-01,131
"Germany",2015-01-01,88
"Hungary",2015-01-01,NA
"Iceland",2015-01-01,0
"Ireland",2015-01-01,1
"Italy",2015-01-01,20
"Kosovo under UNSCR 1244",2015-01-01,3
"Latvia",2015-01-01,NA
"Lithuania",2015-01-01,5
"Malta",2015-01-01,0
"Montenegro",2015-01-01,NA
"Netherlands (Kingdom of the)",2015-01-01,9
"Norway",2015-01-01,3
"Poland",2015-01-01,NA
"Portugal",2015-01-01,6.73076923076922
"Serbia",2015-01-01,10
"Slovakia",2015-01-01,1
"Slovenia",2015-01-01,0
"Spain",2015-01-01,NA
"Switzerland",2015-01-01,10
"Türkiye",2015-01-01,NA
"United Kingdom",2015-01-01,70
"Austria",2016-01-01,9
"Croatia",2016-01-01,4
"Czechia",2016-01-01,6
