"","Country","STD"
"1","Russian Federation",1294.36867494028
"2","France",242.174179741221
"3","Sweden",67.8822509939086
"4","Germany",66.7255573225132
"5","Italy",47.931896130517
"6","Azerbaijan",46.7653718043597
"7","Belarus",46.4402842368563
"8","Uzbekistan",45.5324060422904
"9","Spain",44.2873194793574
"10","Austria",20.3150190745665
"11","Greece",18.0305296649877
"12","Hungary",17.8063659028637
"13","Latvia",15.8965405041474
"14","Republic of Moldova",15.1921032118664
"15","Finland",14.9220195237329
"16","Czechia",14.5933774934614
"17","Netherlands (Kingdom of the)",11.5021737076085
"18","Slovakia",9.39680796866681
"19","Lithuania",8.36062198643139
"20","Switzerland",7.96659693135448
"21","Croatia",7.6594168620507
"22","Georgia",5.77350269189626
"23","Ireland",5.38206899497458
"24","Bosnia and Herzegovina",5.29150262212918
"25","Montenegro",3.18852107828483
"26","North Macedonia",3.11448230047949
"27","United Kingdom",3
"28","Slovenia",2.48997991959775
"29","Malta",1.86189867250253
"30","Iceland",1.63299316185545
"31","Tajikistan",1.22474487139159
"32","Armenia",0
"33","Holy See",0
"34","Albania",NA
"35","Cyprus",NA
"36","Estonia",NA
"37","Liechtenstein",NA
"38","Luxembourg",NA
"39","Norway",NA
"40","Poland",NA
"41","Romania",NA
"42","Serbia",NA
