"","Country","Year","ISO3","Indicator","Total"
"1","Albania",2019,"ALB","Victims of intentional homicide",153.97221847981
"2","Austria",2022,"AUT","Victims of intentional homicide",1.15327778540428
"3","Bosnia and Herzegovina",2022,"BIH","Victims of intentional homicide",1.28832079451522
"4","Bulgaria",2016,"BGR","Victims of intentional homicide",0.554448199290861
"5","Croatia",2022,"HRV","Victims of intentional homicide",2.16435561778572
"6","Czechia",2022,"CZE","Victims of intentional homicide",2.0174067127004
"7","Denmark",2022,"DNK","Victims of intentional homicide",0.667972553007797
"8","Estonia",2022,"EST","Victims of intentional homicide",0
"9","Finland",2018,"FIN","Victims of intentional homicide",2.29893997835166
"10","France",2022,"FRA","Victims of intentional homicide",1.26971307834806
"11","Georgia",2018,"GEO","Victims of intentional homicide",1.10395798351655
"12","Germany",2022,"DEU","Victims of intentional homicide",1.14481465289548
"13","Hungary",2022,"HUN","Victims of intentional homicide",1.03871805057123
"14","Iceland",2022,"ISL","Victims of intentional homicide",0
"15","Ireland",2022,"IRL","Victims of intentional homicide",1.59262709406858
"16","Italy",2022,"ITA","Victims of intentional homicide",0.263132539741052
"17","Kosovo under UNSCR 1244",2021,"XKX","Victims of intentional homicide",3.18071216145295
"18","Latvia",2022,"LVA","Victims of intentional homicide",2.08822883157221
"19","Liechtenstein",2016,"LIE","Victims of intentional homicide",0
"20","Lithuania",2022,"LTU","Victims of intentional homicide",0.69119247982582
"21","Malta",2022,"MLT","Victims of intentional homicide",0
"22","Montenegro",2022,"MNE","Victims of intentional homicide",2.59423560847796
"23","Netherlands (Kingdom of the)",2022,"NLD","Victims of intentional homicide",0.908445940731413
"24","North Macedonia",2022,"MKD","Victims of intentional homicide",0.883006105987223
"25","Norway",2022,"NOR","Victims of intentional homicide",0.335179052649926
"26","Poland",2022,"POL","Victims of intentional homicide",0.563091958639151
"27","Portugal",2021,"PRT","Victims of intentional homicide",0.682124097366909
"28","Russian Federation",2021,"RUS","Victims of intentional homicide",6.06441773135034
"29","Serbia",2022,"SRB","Victims of intentional homicide",0.278441396439291
"30","Slovakia",2021,"SVK","Victims of intentional homicide",36.1144829108273
"31","Slovenia",2022,"SVN","Victims of intentional homicide",0
"32","Spain",2022,"ESP","Victims of intentional homicide",0.594714623720497
"33","Switzerland",2022,"CHE","Victims of intentional homicide",1.11894486110122
"34","Türkiye",2022,"TUR","Victims of intentional homicide",0.823484803797001
