"Country","Year","Value"
"Austria",2010-01-01,0.80192610952981
"Croatia",2010-01-01,NA
"Czechia",2010-01-01,NA
"Denmark",2010-01-01,NA
"Finland",2010-01-01,NA
"France",2010-01-01,NA
"Germany",2010-01-01,NA
"Hungary",2010-01-01,NA
"Iceland",2010-01-01,NA
"Ireland",2010-01-01,NA
"Italy",2010-01-01,NA
"Kosovo under UNSCR 1244",2010-01-01,NA
"Latvia",2010-01-01,NA
"Lithuania",2010-01-01,NA
"Malta",2010-01-01,NA
"Montenegro",2010-01-01,NA
"Netherlands (Kingdom of the)",2010-01-01,NA
"Norway",2010-01-01,NA
"Poland",2010-01-01,NA
"Portugal",2010-01-01,0
"Serbia",2010-01-01,1.34022544482911
"Slovakia",2010-01-01,1.3366124893071
"Slovenia",2010-01-01,NA
"Spain",2010-01-01,NA
"Switzerland",2010-01-01,0.722548334268218
"Türkiye",2010-01-01,NA
"Austria",2011-01-01,1.54135809234343
"Croatia",2011-01-01,NA
"Czechia",2011-01-01,NA
"Denmark",2011-01-01,NA
"Finland",2011-01-01,NA
"France",2011-01-01,NA
"Germany",2011-01-01,NA
"Hungary",2011-01-01,NA
"Iceland",2011-01-01,NA
"Ireland",2011-01-01,NA
"Italy",2011-01-01,NA
"Kosovo under UNSCR 1244",2011-01-01,NA
"Latvia",2011-01-01,NA
"Lithuania",2011-01-01,NA
"Malta",2011-01-01,NA
"Montenegro",2011-01-01,NA
"Netherlands (Kingdom of the)",2011-01-01,NA
"Norway",2011-01-01,NA
"Poland",2011-01-01,NA
"Portugal",2011-01-01,0.335337263049637
"Serbia",2011-01-01,0.815447843955901
"Slovakia",2011-01-01,3.36572411040496
"Slovenia",2011-01-01,NA
"Spain",2011-01-01,NA
"Switzerland",2011-01-01,0.260417165270856
"Türkiye",2011-01-01,NA
"Austria",2012-01-01,1.1157358151684
"Croatia",2012-01-01,NA
"Czechia",2012-01-01,NA
"Denmark",2012-01-01,NA
"Finland",2012-01-01,NA
"France",2012-01-01,NA
"Germany",2012-01-01,NA
"Hungary",2012-01-01,NA
"Iceland",2012-01-01,NA
"Ireland",2012-01-01,NA
"Italy",2012-01-01,NA
"Kosovo under UNSCR 1244",2012-01-01,NA
"Latvia",2012-01-01,NA
"Lithuania",2012-01-01,NA
"Malta",2012-01-01,NA
"Montenegro",2012-01-01,NA
"Netherlands (Kingdom of the)",2012-01-01,NA
"Norway",2012-01-01,NA
"Poland",2012-01-01,NA
"Portugal",2012-01-01,0.102810378148116
"Serbia",2012-01-01,0.98272419205123
"Slovakia",2012-01-01,1.41170896756653
"Slovenia",2012-01-01,NA
"Spain",2012-01-01,NA
"Switzerland",2012-01-01,0.461221887755378
"Türkiye",2012-01-01,NA
"Austria",2013-01-01,0.67723693782411
"Croatia",2013-01-01,NA
"Czechia",2013-01-01,1.56361123884754
"Denmark",2013-01-01,1.14598361833599
"Finland",2013-01-01,1.82681570749645
"France",2013-01-01,NA
"Germany",2013-01-01,0.701882915067286
"Hungary",2013-01-01,NA
"Iceland",2013-01-01,0
"Ireland",2013-01-01,NA
"Italy",2013-01-01,0.461848919304972
"Kosovo under UNSCR 1244",2013-01-01,NA
"Latvia",2013-01-01,NA
"Lithuania",2013-01-01,1.62033916880367
"Malta",2013-01-01,NA
"Montenegro",2013-01-01,NA
"Netherlands (Kingdom of the)",2013-01-01,0.390234974975979
"Norway",2013-01-01,0.555281047120203
"Poland",2013-01-01,NA
"Portugal",2013-01-01,0.302244760321679
"Serbia",2013-01-01,1.14663009532449
"Slovakia",2013-01-01,2.99250969131875
"Slovenia",2013-01-01,0
"Spain",2013-01-01,NA
"Switzerland",2013-01-01,0.471448742933388
"Türkiye",2013-01-01,NA
"Austria",2014-01-01,0.509394508217807
"Croatia",2014-01-01,NA
"Czechia",2014-01-01,0.269522195505747
"Denmark",2014-01-01,0.470475090972049
"Finland",2014-01-01,1.33236510108637
"France",2014-01-01,NA
"Germany",2014-01-01,0.667488399211382
"Hungary",2014-01-01,NA
"Iceland",2014-01-01,0
"Ireland",2014-01-01,NA
"Italy",2014-01-01,0.441903440344898
"Kosovo under UNSCR 1244",2014-01-01,NA
"Latvia",2014-01-01,NA
"Lithuania",2014-01-01,1.84728475840172
"Malta",2014-01-01,NA
"Montenegro",2014-01-01,NA
"Netherlands (Kingdom of the)",2014-01-01,0.330623234971649
"Norway",2014-01-01,0.0822388710247785
"Poland",2014-01-01,NA
"Portugal",2014-01-01,0.089998805461507
"Serbia",2014-01-01,1.71571937723306
"Slovakia",2014-01-01,2.40729317494448
"Slovenia",2014-01-01,0
"Spain",2014-01-01,NA
"Switzerland",2014-01-01,0.122585590872231
"Türkiye",2014-01-01,NA
"Austria",2015-01-01,0.05941770647653
"Croatia",2015-01-01,NA
"Czechia",2015-01-01,0.22223097759108
"Denmark",2015-01-01,1.83645925968489
"Finland",2015-01-01,0.0810635538261997
"France",2015-01-01,1.31065542217609
"Germany",2015-01-01,0.736359184681866
"Hungary",2015-01-01,NA
"Iceland",2015-01-01,0
"Ireland",2015-01-01,0
"Italy",2015-01-01,0.375786983218409
"Kosovo under UNSCR 1244",2015-01-01,0
"Latvia",2015-01-01,NA
"Lithuania",2015-01-01,1.39822984102127
"Malta",2015-01-01,0
"Montenegro",2015-01-01,NA
"Netherlands (Kingdom of the)",2015-01-01,0.386689551854553
"Norway",2015-01-01,0.363118754357425
"Poland",2015-01-01,NA
"Portugal",2015-01-01,0.404491968353151
"Serbia",2015-01-01,1.16179520535178
"Slovakia",2015-01-01,0.862039240026205
"Slovenia",2015-01-01,0
"Spain",2015-01-01,NA
"Switzerland",2015-01-01,0.747314288836875
"Türkiye",2015-01-01,NA
"Austria",2016-01-01,0.534887526207897
"Croatia",2016-01-01,1.10817467104316
"Czechia",2016-01-01,0.266710996107313
"Denmark",2016-01-01,0.156793878766973
"Finland",2016-01-01,0.399319559470662
"France",2016-01-01,1.17130132787892
"Germany",2016-01-01,1.20310052780636
"Hungary",2016-01-01,0.711899891412258
"Iceland",2016-01-01,0
"Ireland",2016-01-01,0.287011578047058
"Italy",2016-01-01,0.354132633868595
"Kosovo under UNSCR 1244",2016-01-01,2.26723095525998
"Latvia",2016-01-01,1.44262673475865
"Lithuania",2016-01-01,1.74253720578391
"Malta",2016-01-01,0
"Montenegro",2016-01-01,NA
"Netherlands (Kingdom of the)",2016-01-01,0.496408458055042
"Norway",2016-01-01,0
"Poland",2016-01-01,0.145781558585902
"Portugal",2016-01-01,0.260135573847756
"Serbia",2016-01-01,1.24724738072393
"Slovakia",2016-01-01,3.37862807560265
"Slovenia",2016-01-01,0
"Spain",2016-01-01,0.40314893496528
"Switzerland",2016-01-01,0.327690938191835
"Türkiye",2016-01-01,1.78713284436433
"Austria",2017-01-01,0.294119054290433
"Croatia",2017-01-01,0.913171901182393
"Czechia",2017-01-01,0.437045671358079
"Denmark",2017-01-01,0.926514784287213
"Finland",2017-01-01,0.916204131271695
"France",2017-01-01,1.01739232370214
"Germany",2017-01-01,0.739869120002739
"Hungary",2017-01-01,0.886114520416554
