"Country","term","estimate","std.error","statistic","p.value","Significant"
"Austria","Year",4.57690219700786e-05,0.000107972089643088,0.42389678778444,0.671641086909075,""
"Portugal","Year",-1.69915767463715e-05,0.000127213091678772,-0.133567831126039,0.893744323245765,""
"Serbia","Year",-0.000248840525543682,0.000123115932038692,-2.0211886587146,0.0432602392837418,"*"
"Slovakia","Year",0.000362068933957713,0.000146754168896474,2.46717988783767,0.0136181924189824,"*"
"Switzerland","Year",7.21454038349824e-05,0.000106041586899159,0.680350096076828,0.496282811426362,""
"United Kingdom","Year",0.00066146310497342,0.000275542937221477,2.40058087368701,0.0163690731904271,"*"
"Czechia","Year",-0.000791532213684557,0.000384492827409496,-2.05863973852899,0.0395287629837801,"*"
"Denmark","Year",-0.000106947844700891,0.000148537074045334,-0.720007751521015,0.471520222940791,""
"Finland","Year",-0.000689891694181188,0.000276938660220266,-2.49113537861589,0.0127335590883095,"*"
"Germany","Year",-3.63910789610715e-06,5.1687971960097e-05,-0.0704053140045142,0.943871061782687,""
"Italy","Year",-0.000147877017467182,6.81527596565373e-05,-2.16978766835596,0.0300229349897922,"*"
"Lithuania","Year",-0.000368497073709262,0.000148585823514506,-2.48002847777255,0.0131371889984459,"*"
"Netherlands (Kingdom of the)","Year",0.000127990095989918,9.22873431047331e-05,1.38686510721917,0.16548289942126,""
"Norway","Year",-8.00110718389598e-05,0.000183854393907983,-0.435187161635118,0.663426580603212,""
"Slovenia","Year",0.000528014169212786,0.0010420494031069,0.50670742446423,0.612360120387931,""
"France","Year",-7.94548542199787e-05,6.12797010980316e-05,-1.29659337099036,0.194771134539464,""
"Ireland","Year",0.000169352831243463,0.000206180630178038,0.821380898376467,0.411429340458863,""
"Kosovo under UNSCR 1244","Year",-2.28292214534523e-05,0.00028813682588381,-0.0792304884439107,0.936849294540009,""
"Croatia","Year",-2.84519933425891e-05,0.000279444219412487,-0.101816360354161,0.918902439452565,""
"Estonia","Year",-0.000566614744171347,0.000644808768708631,-0.878733000647797,0.379546061102258,""
"Hungary","Year",-0.000198433441099489,0.000196607709861065,-1.00928616298778,0.312837414209941,""
"Latvia","Year",0.000279835904343944,0.000227966277103731,1.22753201876702,0.219622695066754,""
"Poland","Year",0.000194048906646593,0.000165722861481132,1.17092418579006,0.241629252505206,""
"Spain","Year",4.12287352091767e-06,0.000106239814268945,0.0388072357739694,0.969044075868408,""
"Türkiye","Year",-0.000109711756523311,4.76722657546195e-05,-2.30137491446333,0.0213704485933511,"*"
"Montenegro","Year",-0.000636637794227604,0.000604197345872792,-1.05369180877144,0.292024040368734,""
