"Country","Year","Total"
"Albania",2017,68
"Albania",2018,68
"Albania",2019,65
"Austria",2010,4
"Austria",2011,15
"Austria",2012,14
"Austria",2013,6
"Austria",2014,2
"Austria",2015,1
"Austria",2016,9
"Austria",2017,8
"Austria",2018,10
"Austria",2019,10
"Austria",2020,11
"Austria",2021,11
"Austria",2022,8
"Azerbaijan",2016,13
"Azerbaijan",2017,7
"Azerbaijan",2018,8
"Bosnia and Herzegovina",2019,7
"Bosnia and Herzegovina",2020,2
"Bosnia and Herzegovina",2021,2
"Bosnia and Herzegovina",2022,2
"Bulgaria",2016,6
"Croatia",2016,4
"Croatia",2017,5
"Croatia",2018,2
"Croatia",2019,3
"Croatia",2020,2
"Croatia",2021,3
"Croatia",2022,5
"Czechia",2013,21
"Czechia",2014,6
"Czechia",2015,5
"Czechia",2016,6
"Czechia",2017,7
"Czechia",2019,12
"Czechia",2020,8
"Czechia",2021,3
"Czechia",2022,17
"Denmark",2013,7
"Denmark",2014,6
"Denmark",2015,9
"Denmark",2016,3
"Denmark",2017,15
"Denmark",2018,5
"Denmark",2019,4
"Denmark",2020,3
"Denmark",2021,8
"Denmark",2022,5
"Estonia",2016,1
"Estonia",2017,1
"Estonia",2018,1
"Estonia",2019,1
"Estonia",2020,0
"Estonia",2021,1
"Estonia",2022,0
"Finland",2013,9
"Finland",2014,10
"Finland",2015,4
"Finland",2016,2
"Finland",2017,8
"Finland",2018,4
"Finland",2019,0
"France",2015,131
"France",2016,104
"France",2017,85
"France",2018,96
"France",2019,93
"France",2020,77
"France",2021,87
"France",2022,111
"Georgia",2016,4
"Georgia",2018,4
"Germany",2013,87
"Germany",2014,88
"Germany",2015,88
"Germany",2016,131
"Germany",2017,82
"Germany",2018,99
"Germany",2019,69
"Germany",2020,102
"Germany",2021,107
"Germany",2022,81
"Holy See",2021,0
"Holy See",2022,0
"Hungary",2013,34
"Hungary",2014,45
"Hungary",2016,8
"Hungary",2017,22
"Hungary",2018,9
"Hungary",2019,12
"Hungary",2020,7
"Hungary",2021,9
"Hungary",2022,10
"Iceland",2011,1
"Iceland",2013,0
"Iceland",2014,0
"Iceland",2015,0
"Iceland",2016,0
"Iceland",2017,0
"Iceland",2018,0
"Iceland",2019,0
"Iceland",2020,0
"Iceland",2021,0
"Iceland",2022,0
"Ireland",2015,1
"Ireland",2016,6
"Ireland",2017,5
"Ireland",2018,4
"Ireland",2019,3
"Ireland",2020,6
"Ireland",2021,3
"Ireland",2022,6
"Italy",2013,22
"Italy",2014,40
"Italy",2015,20
"Italy",2016,26
"Italy",2017,24
"Italy",2018,26
"Italy",2019,22
"Italy",2020,17
"Italy",2021,23
"Italy",2022,15
"Kosovo under UNSCR 1244",2015,3
"Kosovo under UNSCR 1244",2016,4
"Kosovo under UNSCR 1244",2017,7
"Kosovo under UNSCR 1244",2018,4
"Kosovo under UNSCR 1244",2019,10
"Kosovo under UNSCR 1244",2020,5
"Kosovo under UNSCR 1244",2021,1
"Latvia",2016,2
"Latvia",2017,5
"Latvia",2018,5
"Latvia",2019,7
"Latvia",2020,7
"Latvia",2021,4
