"Country","Female","Male","Total","Variable","<1","2","3","4","5-9","10-14","15-17","Poorest (Q1)","Richest (Q5)","IDP","Non IDP","Rural","Urban"
"Belarus",23.07179,28.08271,25.65848,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",29.18028,32.02386,30.6475,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",21.40934,30.62775,26.21028,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",27.32507,32.29769,29.90851,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",44.95172,49.83039,47.50573,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",31.6833,31.17891,31.42953,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",41.17229,47.94592,44.6136,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",18.00273,20.77242,19.47509,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan",44.65728,52.77021,48.82774,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",26.83267,31.71545,29.34977,"Sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",NA,NA,NA,"AgeGroup",NA,36.12806,42.61928,36.19237,23.53629,10.36014,NA,NA,NA,NA,NA,NA,NA
"Georgia",NA,NA,NA,"AgeGroup",NA,35.4157,42.4013,43.6735,35.66818,19.46943,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",NA,NA,NA,"AgeGroup",NA,24.78697,36.06532,26.68471,30.96021,19.62279,NA,NA,NA,NA,NA,NA,NA
"Kosovo",NA,NA,NA,"AgeGroup",NA,33.38157,43.65446,37.94584,35.21589,20.87528,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",NA,NA,NA,"AgeGroup",NA,44.0239,48.4514,51.62923,54.01244,42.92835,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,"AgeGroup",NA,30.99628,36.90623,39.6267,40.27082,19.88103,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",NA,NA,NA,"AgeGroup",NA,55.53204,59.28239,54.73122,44.76652,31.41155,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,"AgeGroup",NA,25.10636,32.95848,25.49069,22.7398,10.0486,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan",NA,NA,NA,"AgeGroup",NA,45.72063,54.32079,61.36866,56.16909,38.77293,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,"AgeGroup",NA,27.92589,39.87868,33.87942,35.42207,21.99959,NA,NA,NA,NA,NA,NA,NA
"Belarus",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,26.22739,26.04138,NA,NA,NA,NA
"Georgia",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,37.90607,25.92941,NA,NA,NA,NA
"Kazakhstan",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,30.17471,26.88204,NA,NA,NA,NA
