"","Country","Year","ISO3","Indicator","Total"
"1","Albania",2018,"ALB","Women & girls subjected to physical and/or sexual violence",5.1
"2","Armenia",2018,"ARM","Women & girls subjected to physical and/or sexual violence",4.5
"3","Austria",2018,"AUT","Women & girls subjected to physical and/or sexual violence",2.8
"4","Azerbaijan",2018,"AZE","Women & girls subjected to physical and/or sexual violence",4
"5","Belarus",2018,"BLR","Women & girls subjected to physical and/or sexual violence",5.2
"6","Belgium",2018,"BEL","Women & girls subjected to physical and/or sexual violence",3.3
"7","Bosnia and Herzegovina",2018,"BIH","Women & girls subjected to physical and/or sexual violence",2.7
"8","Bulgaria",2018,"BGR","Women & girls subjected to physical and/or sexual violence",4.1
"9","Croatia",2018,"HRV","Women & girls subjected to physical and/or sexual violence",2.8
"10","Cyprus",2018,"CYP","Women & girls subjected to physical and/or sexual violence",3
"11","Czechia",2018,"CZE","Women & girls subjected to physical and/or sexual violence",2.9
"12","Denmark",2018,"DNK","Women & girls subjected to physical and/or sexual violence",2
"13","Estonia",2018,"EST","Women & girls subjected to physical and/or sexual violence",2.7
"14","Finland",2018,"FIN","Women & girls subjected to physical and/or sexual violence",5.6
"15","France",2018,"FRA","Women & girls subjected to physical and/or sexual violence",3.5
"16","Georgia",2018,"GEO","Women & girls subjected to physical and/or sexual violence",2.2
"17","Germany",2018,"DEU","Women & girls subjected to physical and/or sexual violence",NA
"18","Greece",2018,"GRC","Women & girls subjected to physical and/or sexual violence",3.7
"19","Hungary",2018,"HUN","Women & girls subjected to physical and/or sexual violence",4.2
"20","Iceland",2018,"ISL","Women & girls subjected to physical and/or sexual violence",1.8
"21","Ireland",2018,"IRL","Women & girls subjected to physical and/or sexual violence",2.7
"22","Italy",2018,"ITA","Women & girls subjected to physical and/or sexual violence",2.2
"23","Kazakhstan",2018,"KAZ","Women & girls subjected to physical and/or sexual violence",4.9
"24","Kyrgyzstan",2018,"KGZ","Women & girls subjected to physical and/or sexual violence",11.6
"25","Latvia",2018,"LVA","Women & girls subjected to physical and/or sexual violence",4.4
"26","Liechtenstein",2018,"LIE","Women & girls subjected to physical and/or sexual violence",NA
"27","Lithuania",2018,"LTU","Women & girls subjected to physical and/or sexual violence",4.1
"28","Luxembourg",2018,"LUX","Women & girls subjected to physical and/or sexual violence",2.7
"29","Malta",2018,"MLT","Women & girls subjected to physical and/or sexual violence",3.1
"30","Montenegro",2018,"MNE","Women & girls subjected to physical and/or sexual violence",3.5
"31","North Macedonia",2018,"MKD","Women & girls subjected to physical and/or sexual violence",3.3
"32","Norway",2018,"NOR","Women & girls subjected to physical and/or sexual violence",3.4
"33","Poland",2018,"POL","Women & girls subjected to physical and/or sexual violence",2.6
"34","Portugal",2018,"PRT","Women & girls subjected to physical and/or sexual violence",3.6
"35","Republic of Moldova",2018,"MDA","Women & girls subjected to physical and/or sexual violence",8.2
"36","Romania",2018,"ROU","Women & girls subjected to physical and/or sexual violence",6.7
"37","Russian Federation",2018,"RUS","Women & girls subjected to physical and/or sexual violence",NA
"38","Serbia",2018,"SRB","Women & girls subjected to physical and/or sexual violence",3
"39","Slovakia",2018,"SVK","Women & girls subjected to physical and/or sexual violence",4.4
"40","Slovenia",2018,"SVN","Women & girls subjected to physical and/or sexual violence",2.6
"41","Spain",2018,"ESP","Women & girls subjected to physical and/or sexual violence",2.6
"42","Sweden",2018,"SWE","Women & girls subjected to physical and/or sexual violence",4.8
"43","Switzerland",2018,"CHE","Women & girls subjected to physical and/or sexual violence",1.2
"44","Tajikistan",2018,"TJK","Women & girls subjected to physical and/or sexual violence",12
"45","Turkiye",2018,"TUR","Women & girls subjected to physical and/or sexual violence",9.5
"46","Turkmenistan",2018,"TKM","Women & girls subjected to physical and/or sexual violence",NA
"47","Ukraine",2018,"UKR","Women & girls subjected to physical and/or sexual violence",8.3
"48","United Kingdom",2018,"GBR","Women & girls subjected to physical and/or sexual violence",3.6
"49","Uzbekistan",2018,"UZB","Women & girls subjected to physical and/or sexual violence",NA
