"","Country","ISO3","Value","Year"
"1","Türkiye","TUR",18,2014
"2","Republic of Moldova","MDA",15.1,2005
"3","Azerbaijan","AZE",11.5,2006
"4","Tajikistan","TJK",5.6,2017
"5","Kyrgyzstan","KGZ",2.7,2012
"6","Ukraine","UKR",2.4,2007
"7","Armenia","ARM",0,2015
"8","Albania","ALB",NA,NA
"9","Austria","AUT",NA,NA
"10","Belarus","BLR",NA,NA
"11","Belgium","BEL",NA,NA
"12","Bosnia and Herzegovina","BIH",NA,NA
"13","Bulgaria","BGR",NA,NA
"14","Croatia","HRV",NA,NA
"15","Cyprus","CYP",NA,NA
"16","Czechia","CZE",NA,NA
"17","Denmark","DNK",NA,NA
"18","Estonia","EST",NA,NA
"19","Finland","FIN",NA,NA
"20","France","FRA",NA,NA
"21","Georgia","GEO",NA,NA
"22","Germany","DEU",NA,NA
"23","Greece","GRC",NA,NA
"24","Holy See","VAT",NA,NA
"25","Hungary","HUN",NA,NA
"26","Iceland","ISL",NA,NA
"27","Ireland","IRL",NA,NA
"28","Italy","ITA",NA,NA
"29","Kazakhstan","KAZ",NA,NA
"30","Latvia","LVA",NA,NA
"31","Liechtenstein","LIE",NA,NA
"32","Lithuania","LTU",NA,NA
"33","Luxembourg","LUX",NA,NA
"34","Malta","MLT",NA,NA
"35","Montenegro","MNE",NA,NA
"36","Netherlands (Kingdom of the)","NLD",NA,NA
"37","North Macedonia","MKD",NA,NA
"38","Norway","NOR",NA,NA
"39","Poland","POL",NA,NA
"40","Portugal","PRT",NA,NA
"41","Romania","ROU",NA,NA
"42","Russian Federation","RUS",NA,NA
"43","Serbia","SRB",NA,NA
"44","Slovakia","SVK",NA,NA
"45","Slovenia","SVN",NA,NA
"46","Spain","ESP",NA,NA
"47","Sweden","SWE",NA,NA
"48","Switzerland","CHE",NA,NA
"49","Turkmenistan","TKM",NA,NA
"50","United Kingdom","GBR",NA,NA
"51","Uzbekistan","UZB",NA,NA
