"","Country","STD"
"1","Bulgaria",3.9929103838345
"2","Denmark",2.42830530754818
"3","Spain",2.36836793312751
"4","Belgium",1.95170865312082
"5","Slovakia",1.73205080756888
"6","Finland",1.71367052453693
"7","Greece",1.65529453572468
"8","France",1.63605215890774
"9","Portugal",1.55134350376268
"10","Estonia",1.21243556529821
"11","Netherlands (Kingdom of the)",1.16761865920913
"12","Austria",1.0688779163216
"13","Croatia",0.993310961716756
"14","Latvia",0.707106781186548
"15","Malta",0.7
"16","Slovenia",0.565685424949238
"17","Poland",0.494974746830583
"18","Kosovo",NA
"19","Lithuania",NA
"20","Montenegro",NA
"21","Serbia",NA
