"","Country","Year","ISO3","Indicator","Total"
"1","Austria",2021,"AUT","Women who have experienced sexual violence during childhood",7.1
"2","Belgium",2021,"BEL","Women who have experienced sexual violence during childhood",8.4
"3","Bulgaria",2021,"BGR","Women who have experienced sexual violence during childhood",2.2
"4","Croatia",2021,"HRV","Women who have experienced sexual violence during childhood",4.5
"5","Denmark",2021,"DNK","Women who have experienced sexual violence during childhood",12.4
"6","Estonia",2021,"EST","Women who have experienced sexual violence during childhood",5.5
"7","Finland",2021,"FIN","Women who have experienced sexual violence during childhood",13.7
"8","France",2021,"FRA","Women who have experienced sexual violence during childhood",11.3
"9","Greece",2021,"GRC","Women who have experienced sexual violence during childhood",8.1
"10","Kosovo",2021,"XKX","Women who have experienced sexual violence during childhood",NA
"11","Latvia",2021,"LVA","Women who have experienced sexual violence during childhood",2.2
"12","Lithuania",2021,"LTU","Women who have experienced sexual violence during childhood",1.6
"13","Malta",2021,"MLT","Women who have experienced sexual violence during childhood",4.5
"14","Montenegro",2021,"MNE","Women who have experienced sexual violence during childhood",NA
"15","Netherlands (Kingdom of the)",2021,"NLD","Women who have experienced sexual violence during childhood",12.3
"16","Poland",2021,"POL","Women who have experienced sexual violence during childhood",1.8
"17","Portugal",2021,"PRT","Women who have experienced sexual violence during childhood",3.5
"18","Serbia",2021,"SRB","Women who have experienced sexual violence during childhood",0.7
"19","Slovakia",2021,"SVK","Women who have experienced sexual violence during childhood",8.4
"20","Slovenia",2021,"SVN","Women who have experienced sexual violence during childhood",6.6
"21","Spain",2021,"ESP","Women who have experienced sexual violence during childhood",6.8
