"","Country","STD"
"1","Finland",4.41572946031193
"2","Denmark",4.00770092031163
"3","Netherlands (Kingdom of the)",3.94292615536567
"4","France",3.73063890864107
"5","Greece",2.9485024447449
"6","Belgium",2.82305980571908
"7","Slovakia",2.75801861245835
"8","Austria",2.41384893203089
"9","Spain",2.30882365430248
"10","Slovenia",1.81989010657237
"11","Estonia",1.71191900119914
"12","Croatia",1.52008771676725
"13","Malta",1.48514870187018
"14","Portugal",1.25219806739988
"15","Latvia",0.706163342766153
"16","Poland",0.571839138219832
"17","Lithuania",0.351188458428425
"18","Bulgaria",0.275378527364305
"19","Serbia",0.0707106781186547
"20","Kosovo",NA
"21","Montenegro",NA
