"Country","term","estimate","std.error","statistic","p.value","Significant","DataFrame"
"Croatia","Year",-9.57359509398742e-06,0.000193580596467917,-0.0494553445369412,0.960556423520828,"","tm_cwd"
"Republic of Moldova","Year",-0.00112773918849045,0.000542103853220652,-2.08030100098077,0.0374979330531953,"*","tm_cwd"
"Armenia","Year",0.00101205877518575,0.000533396473613626,1.89738557574127,0.0577770679547203,"","tm_edu"
"Croatia","Year",0.000337418871318763,0.00010686006312929,3.15757694163552,0.0015908624797259,"*","tm_edu"
"Hungary","Year",-0.000213699948042083,1.0885600613053e-05,-19.6314338214682,8.33296654974071e-86,"*","tm_edu"
"Kosovo (UNSCR 1244)","Year",-0.000168653621612799,0.000124974586067049,-1.34950334240207,0.177175347484503,"","tm_edu"
"Lithuania","Year",-0.00055451741970086,0.000167456280245971,-3.31141608356729,0.000928250757758693,"*","tm_edu"
"Serbia","Year",0.000565150163155994,0.00014149637048725,3.99409653554978,6.49414024166445e-05,"*","tm_edu"
"Armenia","Year",3.98936822073203e-05,0.00020406773400505,0.195492356505184,0.845007520871801,"","tm_health"
"Hungary","Year",-0.00041238398328553,3.91388295094959e-05,-10.5364413921851,5.86773857445336e-26,"*","tm_health"
"Kyrgyzstan","Year",0.000281437162298643,0.000131476459384705,2.14058975740401,0.0323071355024478,"*","tm_health"
"Latvia","Year",5.47521888925723e-05,0.000246863194421504,0.221791624388876,0.824476099860719,"","tm_health"
"Lithuania","Year",-0.000376327571196758,8.03408921471159e-05,-4.68413483021383,2.81144904778768e-06,"*","tm_health"
"Romania","Year",-2.40971449948866e-06,0.000105581223438863,-0.0228233242711381,0.981791202791198,"","tm_health"
"Serbia","Year",-0.000197217507360417,8.69246781741282e-05,-2.26883218325352,0.0232785330464368,"*","tm_health"
"Albania","Year",-7.14832757779901e-05,2.72332504949898e-05,-2.62485287208522,0.00866864161373437,"*","tm_police"
"Armenia","Year",9.10139363965716e-05,7.17493094919708e-05,1.26849912620771,0.204619762566093,"","tm_police"
"Azerbaijan","Year",-1.71547775943383e-05,2.70099177516381e-05,-0.635128834973882,0.52534439225178,"","tm_police"
"Belarus","Year",0.000156789515302576,3.08242550996558e-05,5.08656299383944,3.64610652129142e-07,"*","tm_police"
"Bosnia and Herzegovina","Year",8.40761966644471e-05,2.69784234235871e-05,3.11642364508742,0.00183059079641573,"*","tm_police"
"Bulgaria","Year",-0.000110958110451309,3.40410487816903e-05,-3.25953854015774,0.00111593617717487,"*","tm_police"
"Croatia","Year",0.000165847152929016,3.48325188968555e-05,4.76127360815092,1.92375022598091e-06,"*","tm_police"
"Georgia","Year",0.000391544897817674,3.79566593733468e-05,10.3155784592734,5.99193826855041e-25,"*","tm_police"
