freq,age,unit,geo\TIME_PERIOD	2021 
A,Y18-29,PC,AT	31.8 
A,Y18-29,PC,BE	34.8 
A,Y18-29,PC,BG	22.6 
A,Y18-29,PC,CY	35.0 u
A,Y18-29,PC,CZ	25.5 
A,Y18-29,PC,DE	25.2 
A,Y18-29,PC,DK	33.2 
A,Y18-29,PC,EE	31.5 
A,Y18-29,PC,EL	35.2 
A,Y18-29,PC,ES	33.0 
A,Y18-29,PC,EU_V	28.3 e
A,Y18-29,PC,FI	39.5 
A,Y18-29,PC,FR	32.1 
A,Y18-29,PC,HR	29.4 
A,Y18-29,PC,HU	31.4 
A,Y18-29,PC,IE	37.1 
A,Y18-29,PC,LT	13.0 
A,Y18-29,PC,LU	39.6 
A,Y18-29,PC,LV	17.7 
A,Y18-29,PC,ME	21.9 u
A,Y18-29,PC,MT	35.6 
A,Y18-29,PC,NL	26.1 
A,Y18-29,PC,PL	12.8 
A,Y18-29,PC,PT	36.1 
A,Y18-29,PC,RO	22.0 
A,Y18-29,PC,RS	22.9 
A,Y18-29,PC,SE	35.9 
A,Y18-29,PC,SI	27.5 
A,Y18-29,PC,SK	42.1 
A,Y18-29,PC,XK	10.8 u
A,Y18-74,PC,AT	21.9 
A,Y18-74,PC,BE	22.7 
A,Y18-74,PC,BG	10.4 
A,Y18-74,PC,CY	25.8 
A,Y18-74,PC,CZ	12.2 
A,Y18-74,PC,DE	13.8 
A,Y18-74,PC,DK	23.5 
A,Y18-74,PC,EE	18.3 
A,Y18-74,PC,EL	26.1 
A,Y18-74,PC,ES	19.2 
A,Y18-74,PC,EU_V	18.5 e
A,Y18-74,PC,FI	29.7 
A,Y18-74,PC,FR	23.8 
A,Y18-74,PC,HR	18.5 
A,Y18-74,PC,HU	22.2 
A,Y18-74,PC,IE	21.7 
A,Y18-74,PC,LT	8.5 
A,Y18-74,PC,LU	27.0 
A,Y18-74,PC,LV	10.2 
A,Y18-74,PC,ME	11.4 
