freq,perp,unit,geo\TIME_PERIOD	2021 
A,IPTN,PC,AT	4.3 u
A,IPTN,PC,BE	6.4 
A,IPTN,PC,BG	4.0 
A,IPTN,PC,CY	5.6 
A,IPTN,PC,CZ	4.2 
A,IPTN,PC,DE	3.2 
A,IPTN,PC,DK	9.8 
A,IPTN,PC,EE	4.7 
A,IPTN,PC,EL	7.0 
A,IPTN,PC,ES	5.5 
A,IPTN,PC,EU_V	5.1 e
A,IPTN,PC,FI	7.8 
A,IPTN,PC,FR	6.6 
A,IPTN,PC,HR	4.9 
A,IPTN,PC,HU	7.3 
A,IPTN,PC,IE	5.6 u
A,IPTN,PC,LT	2.9 
A,IPTN,PC,LU	10.7 
A,IPTN,PC,LV	2.2 
A,IPTN,PC,ME	3.7 
A,IPTN,PC,MT	4.3 
A,IPTN,PC,NL	3.3 
A,IPTN,PC,PL	4.5 
A,IPTN,PC,PT	3.1 
A,IPTN,PC,RO	5.5 
A,IPTN,PC,RS	3.3 
A,IPTN,PC,SE	11.9 
A,IPTN,PC,SI	2.1 u
A,IPTN,PC,SK	: u
A,IPTN,PC,XK	: u
A,NPTN,PC,AT	12.7 u
A,NPTN,PC,BE	17.8 
A,NPTN,PC,BG	7.4 
A,NPTN,PC,CY	20.2 
A,NPTN,PC,CZ	8.1 
A,NPTN,PC,DE	10.5 
A,NPTN,PC,DK	15.2 
A,NPTN,PC,EE	13.1 
A,NPTN,PC,EL	20.7 
A,NPTN,PC,ES	13.7 
A,NPTN,PC,EU_V	13.6 e
A,NPTN,PC,FI	21.1 
A,NPTN,PC,FR	17.6 
A,NPTN,PC,HR	14.1 
A,NPTN,PC,HU	16.0 
A,NPTN,PC,IE	16.7 
A,NPTN,PC,LT	5.6 
A,NPTN,PC,LU	18.4 
A,NPTN,PC,LV	8.2 
A,NPTN,PC,ME	8.4 
A,NPTN,PC,MT	20.8 
A,NPTN,PC,NL	17.4 
A,NPTN,PC,PL	6.5 
A,NPTN,PC,PT	20.2 
A,NPTN,PC,RO	8.2 
A,NPTN,PC,RS	11.1 
A,NPTN,PC,SE	20.1 
A,NPTN,PC,SI	18.0 
A,NPTN,PC,SK	32.4 
A,NPTN,PC,XK	4.3 
A,NPTN_F,PC,AT	3.0 u
A,NPTN_F,PC,BE	4.4 
A,NPTN_F,PC,BG	2.1 
A,NPTN_F,PC,CY	1.8 u
A,NPTN_F,PC,CZ	2.5 u
A,NPTN_F,PC,DE	: u
A,NPTN_F,PC,DK	1.8 
A,NPTN_F,PC,EE	3.1 
A,NPTN_F,PC,EL	1.9 
A,NPTN_F,PC,ES	2.3 
A,NPTN_F,PC,EU_V	2.4 e
A,NPTN_F,PC,FI	4.6 
A,NPTN_F,PC,FR	4.4 
A,NPTN_F,PC,HR	3.6 
A,NPTN_F,PC,HU	: u
A,NPTN_F,PC,IE	3.7 u
A,NPTN_F,PC,LT	0.7 u
A,NPTN_F,PC,LU	3.4 
A,NPTN_F,PC,LV	2.0 
A,NPTN_F,PC,ME	1.6 u
A,NPTN_F,PC,MT	3.1 
A,NPTN_F,PC,NL	3.8 
A,NPTN_F,PC,PL	1.5 
A,NPTN_F,PC,PT	3.8 
A,NPTN_F,PC,RO	2.3 u
A,NPTN_F,PC,RS	1.0 u
A,NPTN_F,PC,SE	3.2 
A,NPTN_F,PC,SI	4.3 
A,NPTN_F,PC,SK	5.2 
A,NPTN_F,PC,XK	: u
A,NPTN_M,PC,AT	9.1 u
A,NPTN_M,PC,BE	14.4 
A,NPTN_M,PC,BG	6.7 
A,NPTN_M,PC,CY	18.7 
A,NPTN_M,PC,CZ	6.6 
A,NPTN_M,PC,DE	10.1 
A,NPTN_M,PC,DK	14.0 
A,NPTN_M,PC,EE	10.9 
A,NPTN_M,PC,EL	19.0 
A,NPTN_M,PC,ES	12.4 
A,NPTN_M,PC,EU_V	11.9 e
A,NPTN_M,PC,FI	18.6 
A,NPTN_M,PC,FR	15.2 
A,NPTN_M,PC,HR	11.3 
A,NPTN_M,PC,HU	15.6 
A,NPTN_M,PC,IE	13.4 
A,NPTN_M,PC,LT	4.8 
A,NPTN_M,PC,LU	16.2 
A,NPTN_M,PC,LV	5.9 
A,NPTN_M,PC,ME	6.8 
A,NPTN_M,PC,MT	17.3 
A,NPTN_M,PC,NL	14.9 
A,NPTN_M,PC,PL	4.9 
A,NPTN_M,PC,PT	14.2 
A,NPTN_M,PC,RO	6.4 
A,NPTN_M,PC,RS	10.2 
A,NPTN_M,PC,SE	18.4 
A,NPTN_M,PC,SI	15.1 
A,NPTN_M,PC,SK	29.0 
A,NPTN_M,PC,XK	3.8 
A,PERP,PC,AT	21.9 u
A,PERP,PC,BE	22.7 
A,PERP,PC,BG	10.4 
A,PERP,PC,CY	25.8 
A,PERP,PC,CZ	12.2 
A,PERP,PC,DE	13.8 
A,PERP,PC,DK	23.5 
A,PERP,PC,EE	18.3 
A,PERP,PC,EL	26.1 
A,PERP,PC,ES	19.2 
A,PERP,PC,EU_V	18.5 e
A,PERP,PC,FI	29.7 
A,PERP,PC,FR	23.8 
A,PERP,PC,HR	18.5 
A,PERP,PC,HU	22.2 
A,PERP,PC,IE	21.7 
A,PERP,PC,LT	8.5 
A,PERP,PC,LU	27.0 
A,PERP,PC,LV	10.2 
A,PERP,PC,ME	11.4 
A,PERP,PC,MT	25.2 
A,PERP,PC,NL	21.6 
A,PERP,PC,PL	10.6 
A,PERP,PC,PT	23.8 
A,PERP,PC,RO	13.3 
A,PERP,PC,RS	13.8 
A,PERP,PC,SE	29.4 
A,PERP,PC,SI	19.3 
A,PERP,PC,SK	32.4 
A,PERP,PC,XK	4.8 
A,PERP_F,PC,AT	3.0 u
A,PERP_F,PC,BE	4.6 
A,PERP_F,PC,BG	2.1 
A,PERP_F,PC,CY	2.4 u
A,PERP_F,PC,CZ	2.5 u
A,PERP_F,PC,DE	: u
A,PERP_F,PC,DK	1.9 
A,PERP_F,PC,EE	3.1 
A,PERP_F,PC,EL	2.0 
A,PERP_F,PC,ES	2.3 
A,PERP_F,PC,EU_V	2.5 e
A,PERP_F,PC,FI	4.8 
A,PERP_F,PC,FR	4.5 
A,PERP_F,PC,HR	3.6 
A,PERP_F,PC,HU	: u
A,PERP_F,PC,IE	3.7 u
A,PERP_F,PC,LT	0.7 u
A,PERP_F,PC,LU	3.5 
A,PERP_F,PC,LV	2.0 
A,PERP_F,PC,ME	1.6 u
A,PERP_F,PC,MT	3.1 
A,PERP_F,PC,NL	3.9 
A,PERP_F,PC,PL	1.5 
A,PERP_F,PC,PT	3.8 
A,PERP_F,PC,RO	2.5 u
A,PERP_F,PC,RS	1.0 u
A,PERP_F,PC,SE	3.2 
A,PERP_F,PC,SI	4.3 
A,PERP_F,PC,SK	5.2 
A,PERP_F,PC,XK	: u
A,PERP_M,PC,AT	11.6 u
A,PERP_M,PC,BE	18.7 
A,PERP_M,PC,BG	9.1 
A,PERP_M,PC,CY	22.8 
A,PERP_M,PC,CZ	10.1 
A,PERP_M,PC,DE	12.7 
A,PERP_M,PC,DK	21.3 
A,PERP_M,PC,EE	14.5 
A,PERP_M,PC,EL	24.2 
A,PERP_M,PC,ES	16.5 
A,PERP_M,PC,EU_V	15.6 e
A,PERP_M,PC,FI	23.2 
A,PERP_M,PC,FR	19.3 
A,PERP_M,PC,HR	14.6 
A,PERP_M,PC,HU	21.5 
A,PERP_M,PC,IE	17.9 
A,PERP_M,PC,LT	7.2 
A,PERP_M,PC,LU	24.3 
A,PERP_M,PC,LV	7.9 
A,PERP_M,PC,ME	9.7 
A,PERP_M,PC,MT	20.6 
A,PERP_M,PC,NL	16.8 
A,PERP_M,PC,PL	8.8 
A,PERP_M,PC,PT	16.5 
A,PERP_M,PC,RO	11.1 
A,PERP_M,PC,RS	12.8 
A,PERP_M,PC,SE	27.1 
A,PERP_M,PC,SI	16.3 
A,PERP_M,PC,SK	29.0 
A,PERP_M,PC,XK	4.2 
