DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ALB: Albania,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,F: Female,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,18.5,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ALB: Albania,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,M: Male,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,17.3,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ALB: Albania,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,_T: Total,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,17.9,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,F: Female,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,14.5,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,M: Male,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,19.1,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,_T: Total,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,16.8,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AUT: Austria,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,F: Female,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,21.1,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AUT: Austria,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,M: Male,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,20.4,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AUT: Austria,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,_T: Total,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,20.8,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AZE: Azerbaijan,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,F: Female,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,26.5,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AZE: Azerbaijan,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,M: Male,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,25,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,AZE: Azerbaijan,PT_ST_13-15_BUL_30-DYS: Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,_T: Total,Y13T15: 13 to 15 years,_T: Total,_T: Total,2018,25.7,2017-18,PCNT: %,,0: Not Known,HBSC 2017/18,,RA: Reanalysed
