DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,2.7,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,4.9,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,3.9,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2019,3.4,2019,PCNT: %,,0: Not Known,"MICS 2019, UNICEF and ILO calculations",,RP: Reported
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2019,4.6,2019,PCNT: %,,0: Not Known,"MICS 2019, UNICEF and ILO calculations",,RP: Reported
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2019,4,2019,PCNT: %,,0: Not Known,"MICS 2019, UNICEF and ILO calculations",,RP: Reported
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,GEO: Georgia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,0.9,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,GEO: Georgia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,2.1,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,GEO: Georgia,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2015,1.5,2015,PCNT: %,,0: Not Known,"CLS 2015, ILO Harmonized Microdata, https",,RA: Reanalysed
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,KGZ: Kyrgyzstan,PT_CHLD_5-17_LBR_ECON: Percentage of children (5-17 years) engaged in child labour (economic activities) - SDG 8.7.1,F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,2018,15.6,2018,PCNT: %,,0: Not Known,"MICS 2018, UNICEF and ILO calculations",,RA: Reanalysed
