DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2018,74.25,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2021,61.82,,PCNT: %,,1: One year,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,F: Female,_T: Total,_T: Total,_T: Total,2018,69.7,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,F: Female,_T: Total,_T: Total,_T: Total,2021,54.56,,PCNT: %,,1: One year,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,M: Male,_T: Total,_T: Total,_T: Total,2018,79.14,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BEL: Belgium,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,M: Male,_T: Total,_T: Total,_T: Total,2021,69.64,,PCNT: %,,1: One year,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BGR: Bulgaria,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2020,86.1,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BGR: Bulgaria,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,F: Female,_T: Total,_T: Total,_T: Total,2020,81.4,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,BGR: Bulgaria,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,M: Male,_T: Total,_T: Total,_T: Total,2020,91.2,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,EST: Estonia,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2015,74,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,EST: Estonia,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2016,72,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,EST: Estonia,PT_VC_SNS_WALN: Percentage of population that feel safe walking alone around the area they live - SDG 16.1.4,_T: Total,_T: Total,_T: Total,_T: Total,2017,76,,PCNT: %,,1: One year,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),0: Units,A: Normal value
