"Goal 5: Gender equality"

"Indicator","Country","1980","1990","1995","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Albania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Andorra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Armenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Azerbaijan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Belarus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.1,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Czechia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Georgia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Germany",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Iceland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Israel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..
