freq,age,unit,geo\TIME_PERIOD	2021 
A,Y18-29,PC,AT	5.5 
A,Y18-29,PC,BE	9.1 
A,Y18-29,PC,BG	8.3 u
A,Y18-29,PC,DK	14.3 
A,Y18-29,PC,EE	6.1 u
A,Y18-29,PC,EL	7.2 
A,Y18-29,PC,ES	6.7 
A,Y18-29,PC,FI	14.6 
A,Y18-29,PC,FR	11.0 
A,Y18-29,PC,HR	4.5 u
A,Y18-29,PC,LT	: u
A,Y18-29,PC,LV	: u
A,Y18-29,PC,ME	: u
A,Y18-29,PC,MT	3.9 u
A,Y18-29,PC,NL	11.1 
A,Y18-29,PC,PL	: u
A,Y18-29,PC,PT	3.9 u
A,Y18-29,PC,RS	: u
A,Y18-29,PC,SI	: u
A,Y18-29,PC,SK	10.7 
A,Y18-29,PC,XK	: u
A,Y18-74,PC,AT	7.1 
A,Y18-74,PC,BE	8.4 
A,Y18-74,PC,BG	2.2 
A,Y18-74,PC,DK	12.4 
A,Y18-74,PC,EE	5.5 
A,Y18-74,PC,EL	8.1 
A,Y18-74,PC,ES	6.8 
A,Y18-74,PC,FI	13.7 
A,Y18-74,PC,FR	11.3 
A,Y18-74,PC,HR	4.5 
A,Y18-74,PC,LT	1.6 u
A,Y18-74,PC,LV	2.2 
A,Y18-74,PC,ME	: u
A,Y18-74,PC,MT	4.5 
A,Y18-74,PC,NL	12.3 
A,Y18-74,PC,PL	1.8 
A,Y18-74,PC,PT	3.5 
A,Y18-74,PC,RS	0.7 u
A,Y18-74,PC,SI	6.6 
A,Y18-74,PC,SK	8.4 
A,Y18-74,PC,XK	: u
A,Y30-44,PC,AT	7.8 
A,Y30-44,PC,BE	9.0 
A,Y30-44,PC,BG	2.0 u
A,Y30-44,PC,DK	13.2 
A,Y30-44,PC,EE	7.6 
A,Y30-44,PC,EL	7.8 
A,Y30-44,PC,ES	8.6 
A,Y30-44,PC,FI	14.1 
A,Y30-44,PC,FR	13.0 
A,Y30-44,PC,HR	5.9 u
A,Y30-44,PC,LT	: u
A,Y30-44,PC,LV	3.3 u
A,Y30-44,PC,ME	: u
A,Y30-44,PC,MT	5.2 
A,Y30-44,PC,NL	12.0 
A,Y30-44,PC,PL	1.6 u
A,Y30-44,PC,PT	5.0 
A,Y30-44,PC,RS	: u
A,Y30-44,PC,SI	6.5 u
A,Y30-44,PC,SK	8.1 
A,Y30-44,PC,XK	: u
A,Y45-64,PC,AT	7.5 
A,Y45-64,PC,BE	8.9 
A,Y45-64,PC,BG	0.9 u
A,Y45-64,PC,DK	12.4 
A,Y45-64,PC,EE	5.2 
A,Y45-64,PC,EL	9.7 
A,Y45-64,PC,ES	7.0 
A,Y45-64,PC,FI	14.5 
A,Y45-64,PC,FR	11.2 
A,Y45-64,PC,HR	3.9 
A,Y45-64,PC,LT	: u
A,Y45-64,PC,LV	2.3 u
A,Y45-64,PC,ME	: u
A,Y45-64,PC,MT	5.0 
A,Y45-64,PC,NL	12.4 
A,Y45-64,PC,PL	2.3 u
A,Y45-64,PC,PT	3.4 
A,Y45-64,PC,RS	: u
A,Y45-64,PC,SI	7.3 u
A,Y45-64,PC,SK	8.3 
A,Y45-64,PC,XK	: u
A,Y65-74,PC,AT	6.3 
A,Y65-74,PC,BE	5.1 
A,Y65-74,PC,BG	: u
A,Y65-74,PC,DK	8.7 
A,Y65-74,PC,EE	: u
A,Y65-74,PC,EL	5.7 
A,Y65-74,PC,ES	3.0 u
A,Y65-74,PC,FI	11.0 
A,Y65-74,PC,FR	9.0 
A,Y65-74,PC,HR	3.7 u
A,Y65-74,PC,LT	: u
A,Y65-74,PC,LV	: u
A,Y65-74,PC,ME	: u
A,Y65-74,PC,MT	: u
A,Y65-74,PC,NL	13.9 
A,Y65-74,PC,PL	: u
A,Y65-74,PC,PT	1.3 u
A,Y65-74,PC,RS	: u
A,Y65-74,PC,SI	: u
A,Y65-74,PC,SK	6.5 
A,Y65-74,PC,XK	: u
