DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,50334,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,59066,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,55495,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,55571,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2020,52659,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2021,54205,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2022,55086,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,15182,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,15179,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,15469,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,15521,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,14717,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2020,12508,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVK: Slovakia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2021,14007,,NUMBER: Number,Includes children aged 18 years old.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVN: Slovenia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,634,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVN: Slovenia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,680,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVN: Slovenia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,830,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVN: Slovenia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,1061,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,SVN: Slovenia,PT_CHLD_VIOLENCE_WELFARE: Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,885,,NUMBER: Number,,,TMEE Data Collection: 2023 Publication,,
