DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,11172,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,9856,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,8940,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,7346,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,B: Time series break
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,5824,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2020,6310,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2021,5826,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2022,5878,,NUMBER: Number,"Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases).",,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,POL: Poland,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,24362,,NUMBER: Number,Provisional data.,,TMEE Data Collection: 2023 Publication,,P: Provisional value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,POL: Poland,JJ_CHLD_VICTIM_CRIME: Number of child victims of crime (0-17 years) registered by the police during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,32580,,NUMBER: Number,Provisional data.,,TMEE Data Collection: 2023 Publication,,P: Provisional value
