DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,56144,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,51297,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,48580,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,44758,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,41260,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2020,35468,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,PA: Partial value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2021,35566,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,PA: Partial value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2022,33059,,NUMBER: Number,From 2020 without data of vocational schools.,,TMEE Data Collection: 2023 Publication,,PA: Partial value
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LTU: Lithuania,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,11879,,NUMBER: Number,"Data available from 2018. The year refers to academic year, e.g. year 2021 represents 2020-2021 academic year. Data source: The Education Management Information Systems.",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LTU: Lithuania,PT_CHLD_VIOLENCE_EDUCATION: Number of child victims of violence (0-17 years) registered by education authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,9938,,NUMBER: Number,"Data available from 2018. The year refers to academic year, e.g. year 2021 represents 2020-2021 academic year. Data source: The Education Management Information Systems.",,TMEE Data Collection: 2023 Publication,,
