DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Age,RESIDENCE:Residence,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation value,COVERAGE_TIME:The period of time for which data are provided,UNIT_MEASURE:Unit of measure,OBS_FOOTNOTE:Observation footnote,FREQ:Frequency,DATA_SOURCE:Data Source,UNIT_MULTIPLIER:Unit multiplier,OBS_STATUS:Observation Status
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,58660,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,56594,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,41895,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,32110,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2019,28024,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2020,25338,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2021,23776,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,HUN: Hungary,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2022,22592,,NUMBER: Number,Monthly average number of special care claims of 0-17 years old children due to environmental reasons registered in health visitors’ districts,,TMEE Data Collection: 2023 Publication,,D: Definition differs
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LVA: Latvia,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2015,72,,NUMBER: Number,"Partial data for 2018 and 2019. In 2022, the number of abused children has increased significantly. This is explained by the fact that Children’s Clinical University Hospital has significantly increased.",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LVA: Latvia,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2016,106,,NUMBER: Number,"Partial data for 2018 and 2019. In 2022, the number of abused children has increased significantly. This is explained by the fact that Children’s Clinical University Hospital has significantly increased.",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LVA: Latvia,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2017,197,,NUMBER: Number,"Partial data for 2018 and 2019. In 2022, the number of abused children has increased significantly. This is explained by the fact that Children’s Clinical University Hospital has significantly increased.",,TMEE Data Collection: 2023 Publication,,
ECARO:TRANSMONEE(1.0): ECARO for TransMonEE,LVA: Latvia,PT_CHLD_VIOLENCE_HEALTHCARE: Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,_T: Total,_T: Total,_T: Total,_T: Total,2018,48,,NUMBER: Number,"Partial data for 2018 and 2019. In 2022, the number of abused children has increased significantly. This is explained by the fact that Children’s Clinical University Hospital has significantly increased.",,TMEE Data Collection: 2023 Publication,,PA: Partial value
