Tags,Countries,Name,Quality checked,FileNumer,Selected for,ICVAC Category,Data provider,Notes,GenderDisaggregation,ThemeExcel,Source name,Level2,Formats,StatisticalUnit,AgeDisaggregation,DataType,Link,Aggregated indicator for comparative analysis,_autonumber,Count coverage,ID,Provider,Source,Category,Level_2,Country,Aggregation,ISO3,ICVAC code,Notes category,if composite
"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","['recw9PiDwWLnV9w6V', 'recD7yEZsLX0AeQCY', 'recTo4BGLsxsQUfXn', 'recphE1mZZIyqsgpF', 'recHNeQ80wLpeXsgx', 'recOUw8ElgEaLd7aq', 'recKo7MyQkGLwTLh5', 'recy622uRTFQYDLQ2', 'reclCwMbYWFnsM80B', 'rec2w8ZIOtYRHHmhw', 'recyl5TBJ0fk8pyIO', 'rectXemHhITSmpRLO', 'recfkofrbcdgPSPZz', 'rect7um7Tj1pktlut', 'rec9MEnT9ARANCrpx', 'rec1Hs7cn6jxTUaci', 'recGkCDST8vV2LlZs', 'recg4JZtvmJitt8sK', 'reca5LhwpMPGObRok', 'rec4roLU02AYCSPRd', 'rec8P5Gm8bKJwCRVF', 'recetq8hizIHqEzkN', 'rec9rMUxs3VetD9r8', 'recpHu8VALGo8GhBw', 'recqmdCV5QDHexCX2', 'recuZ4np04sXJsqs9', 'recRwObdLI3B7dXNs', 'recFr9YIVx1EQyFUX', 'recewEvWRKm3rG4qR', 'recFDmEvbCIjl9X3Y', 'recbfh9DhzhNpIZCo', 'recbh54f7AyTjR7B2', 'recmyTZBUonLVvvpR', 'recq1VbVMxXnR6Ugk', 'recaajOhAB6iL9KeZ', 'recZslZUm9qXK3tZp', 'recpipBmt2yDyF6YY', 'recE7fj7YKhIbb8Uj']",Victims of intentional homicide and sexual exploitation by age and sex,True,1.0,"['Analysis', 'Trends']",['recXtTxA6ggNyMxpM'],['rec4i9AubnnTbFpKm'],"0 - 15 age
15 - 19 age
",True,Homicide,['recromdT5hHhYslhy'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz', 'recUeBpGs7jRSvLnW']","['csv', 'tsv', 'xlsx']","['Victim', 'Rate']",True,['Administrative'],"<https://ec.europa.eu/eurostat/databrowser/view/crim_hom_vage/default/table?lang=en>
",['rec9HUwUY1vHxEldr'],19,38,'19Victims of intentional homicide and sexual exploitation by age and sex',Eurostat,eurostat - Data Browser,Violent killing of a child,"AV - Age of the victim, SV - Sex of the victim, DaT - Date and time","Türkiye, Germany, France, Italy, Spain, Poland, Romania, Sweden, Serbia, Netherlands (Kingdom of the), Greece, Bulgaria, Lithuania, Hungary, Austria, Finland, Latvia, Slovakia, Albania, Denmark, Switzerland, Ireland, Bosnia and Herzegovina, Estonia, Norway, Croatia, Cyprus, Montenegro, Slovenia, Malta, Luxembourg, Iceland, Liechtenstein, Czechia, Portugal, United Kingdom of Great Britain and Northern Ireland, North Macedonia, Kosovo",4 - EUROSTAT - Victims of intentional homicide and sexual exploitation by age and sex,"['TUR', 'DEU', 'FRA', 'ITA', 'ESP', 'POL', 'ROU', 'SWE', 'SRB', 'NLD', 'GRC', 'BGR', 'LTU', 'HUN', 'AUT', 'FIN', 'LVA', 'SVK', 'ALB', 'DNK', 'CHE', 'IRL', 'BIH', 'EST', 'NOR', 'HRV', 'CYP', 'MNE', 'SVN', 'MLT', 'LUX', 'ISL', 'LIE', 'CZE', 'PRT', 'GBR', 'MKD', 'XKX']",[1],,
"['2013', '2014', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2015']",['recZslZUm9qXK3tZp'],"Number of offences and rates per million population currently recorded as homicide, by age and sex of victim",True,4.0,,['recXtTxA6ggNyMxpM'],['reci7PM7ne4xZyfLN'],"[ ] Age 1 - 4 - 15 - 24

",True,Homicide,['recYWS3DQSoZ5ofuV'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Victim'],True,['Administrative'],"<https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/appendixtableshomicideinenglandandwales>
",,20,1,"'20Number of offences and rates per million population currently recorded as homicide, by age and sex of victim'",Office for National Statistics (UK),UK - NSO website,Violent killing of a child,"AV - Age of the victim, SV - Sex of the victim",United Kingdom of Great Britain and Northern Ireland,,['GBR'],[1],,
['2018'],"['reca5LhwpMPGObRok', 'recA6MMaVV5a6FPai', 'rec9MEnT9ARANCrpx', 'recdoeHtHvq9L1RVv', 'recPIePM0Wn1Cw0ML', 'rectXemHhITSmpRLO', 'rec9rMUxs3VetD9r8', 'rec8P5Gm8bKJwCRVF', 'recq1VbVMxXnR6Ugk', 'recD7yEZsLX0AeQCY', 'rec4roLU02AYCSPRd', 'recHNeQ80wLpeXsgx', 'recpHu8VALGo8GhBw', 'rec1Hs7cn6jxTUaci', 'recTo4BGLsxsQUfXn', 'recZ1BTkAGbF6m7Ya', 'recyl5TBJ0fk8pyIO', 'recuZ4np04sXJsqs9', 'rect7um7Tj1pktlut', 'recetq8hizIHqEzkN', 'recbh54f7AyTjR7B2', 'recphE1mZZIyqsgpF', 'recq1T1XlSuSitU5F', 'recfkofrbcdgPSPZz', 'recbfh9DhzhNpIZCo', 'recGkCDST8vV2LlZs', 'recIk7aBuMBN98eKt', 'recpipBmt2yDyF6YY', 'recFDmEvbCIjl9X3Y', 'rec2w8ZIOtYRHHmhw', 'recqmdCV5QDHexCX2', 'recOUw8ElgEaLd7aq', 'recaajOhAB6iL9KeZ', 'recKo7MyQkGLwTLh5', 'recnUWgEpQSImampU', 'reclCwMbYWFnsM80B', 'recg4JZtvmJitt8sK', 'recewEvWRKm3rG4qR', 'recy622uRTFQYDLQ2', 'recw9PiDwWLnV9w6V', 'recCVQVepXIxpRx5U', 'recZslZUm9qXK3tZp']",Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,True,5.0,['Analysis'],['recIF03y4u9mmenxy'],['rechvPDOnRP36ZJVF'],,True,Bullying,['recvv4oG200ybCvR4'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Rate'],True,['Survey'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PT_ST_13-15_BUL_30-DYS....&startPeriod=2014&endPeriod=2024&_gl=1*13zuqr6*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDA5ODAyMS41MS4wLjA>.
",['recvTGSWxjdKkGb9t'],21,42,'21Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days',UNICEF,TransMonEE Database,Composite phoenomena,"AV - Age of the victim, SV - Sex of the victim","Albania, Armenia, Austria, Azerbaijan, Belgium, Bulgaria, Bosnia and Herzegovina, Switzerland, Czechia, Germany, Denmark, Spain, Estonia, Finland, France, Georgia, Greece, Croatia, Hungary, Ireland, Iceland, Italy, Kazakhstan, Lithuania, Luxembourg, Latvia, Republic of Moldova, North Macedonia, Malta, Netherlands (Kingdom of the), Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Türkiye, Ukraine, United Kingdom of Great Britain and Northern Ireland",18 - TRANSMONEE - Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,"['ALB', 'ARM', 'AUT', 'AZE', 'BEL', 'BGR', 'BIH', 'CHE', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GEO', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'KAZ', 'LTU', 'LUX', 'LVA', 'MDA', 'MKD', 'MLT', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'RUS', 'SRB', 'SVK', 'SVN', 'SWE', 'TUR', 'UKR', 'GBR']",[10],,
['2006'],['recBwqYAOhM5RuE58'],Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,True,6.0,['Analysis'],['recIF03y4u9mmenxy'],['recVHDCtHHtLqrcav'],,True,Bullying,"['recvv4oG200ybCvR4', 'recVEbIFDrRuQ2z0z']","['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Rate'],,['Survey'],"<https://www.unicef.org/transmonee/database-explorer?&dq=TJK.PT_ST_13-15_BUL_30-DYS....&startPeriod=1970&endPeriod=2024&_gl=1*13zuqr6*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDA5ODAyMS41MS4wLjA>.
",['recvTGSWxjdKkGb9t'],22,1,'22Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days',WHO,"TransMonEE Database, GSHS",Composite phoenomena,"AV - Age of the victim, SV - Sex of the victim",Tajikistan,18 - TRANSMONEE - Percentage of students (13-15 years) who reported being bullied on 1 or more days in the past 30 days,['TJK'],[10],,
"['2015', '2018']","['rec9MEnT9ARANCrpx', 'recPIePM0Wn1Cw0ML', 'rectXemHhITSmpRLO', 'rec8P5Gm8bKJwCRVF', 'recq1VbVMxXnR6Ugk', 'recD7yEZsLX0AeQCY', 'rec4roLU02AYCSPRd', 'recHNeQ80wLpeXsgx', 'recpHu8VALGo8GhBw', 'rec1Hs7cn6jxTUaci', 'recTo4BGLsxsQUfXn', 'recyl5TBJ0fk8pyIO', 'recuZ4np04sXJsqs9', 'rect7um7Tj1pktlut', 'recetq8hizIHqEzkN', 'recbh54f7AyTjR7B2', 'recphE1mZZIyqsgpF', 'recfkofrbcdgPSPZz', 'recbfh9DhzhNpIZCo', 'recGkCDST8vV2LlZs', 'rec2w8ZIOtYRHHmhw', 'recqmdCV5QDHexCX2', 'recOUw8ElgEaLd7aq', 'recaajOhAB6iL9KeZ', 'recKo7MyQkGLwTLh5', 'recg4JZtvmJitt8sK', 'recewEvWRKm3rG4qR', 'recy622uRTFQYDLQ2', 'recw9PiDwWLnV9w6V', 'recZslZUm9qXK3tZp']",Percentage of 15-year-old students who report experiencing bullying at school at least a few times a month,True,7.0,['Analysis'],['recIF03y4u9mmenxy'],['recrYRsuykOrzvT4h'],"Observation footnote
[ ] Data did not meet the PISA technical standards but were accepted as largely comparable.
",True,Bullying,"['recYjPSNZ3h6DKQ6T', 'recvv4oG200ybCvR4']","['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz', 'recY1Qq7bQckKPk0z']",['xlsx'],['Rate'],,['Survey'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PT_CHLD_15_BUL_SCH....&startPeriod=2014&endPeriod=2024&_gl=1*pvd2lg*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDA5OTU2Ni42MC4wLjA>.
",['recxA8OuhP6LCSXjR'],23,30,'23Percentage of 15-year-old students who report experiencing bullying at school at least a few times a month',OECD,"OECD Programme for International Student Assessment (PISA) Database, TransMonEE Database",Composite phoenomena,"AV - Age of the victim, SV - Sex of the victim, Set - Settings","Austria, Belgium, Bulgaria, Switzerland, Czechia, Germany, Denmark, Spain, Estonia, Finland, France, Greece, Croatia, Hungary, Ireland, Iceland, Italy, Lithuania, Luxembourg, Latvia, Netherlands (Kingdom of the), Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Sweden, Türkiye, United Kingdom of Great Britain and Northern Ireland",11 - PISA - Percentage of 15-year-old students who report experiencing bullying at school at least a few times a month,"['AUT', 'BEL', 'BGR', 'CHE', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'LTU', 'LUX', 'LVA', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'TUR', 'GBR']",[10],,
"['2017', '2018']","['rec9MEnT9ARANCrpx', 'recPIePM0Wn1Cw0ML', 'rectXemHhITSmpRLO', 'rec8P5Gm8bKJwCRVF', 'recq1VbVMxXnR6Ugk', 'recD7yEZsLX0AeQCY', 'rec4roLU02AYCSPRd', 'recHNeQ80wLpeXsgx', 'recpHu8VALGo8GhBw', 'rec1Hs7cn6jxTUaci', 'recTo4BGLsxsQUfXn', 'recyl5TBJ0fk8pyIO', 'recuZ4np04sXJsqs9', 'rect7um7Tj1pktlut', 'recetq8hizIHqEzkN', 'recbh54f7AyTjR7B2', 'recphE1mZZIyqsgpF', 'recfkofrbcdgPSPZz', 'recbfh9DhzhNpIZCo', 'recGkCDST8vV2LlZs', 'rec2w8ZIOtYRHHmhw', 'recqmdCV5QDHexCX2', 'recOUw8ElgEaLd7aq', 'recaajOhAB6iL9KeZ', 'recKo7MyQkGLwTLh5', 'recg4JZtvmJitt8sK', 'recewEvWRKm3rG4qR', 'recy622uRTFQYDLQ2', 'recw9PiDwWLnV9w6V', 'recZslZUm9qXK3tZp']","Percentage of 11-, 13- and 15-year-old school children who report having been a victim of cyber-bullying",True,8.0,['Analysis'],['recIF03y4u9mmenxy'],"['recrYRsuykOrzvT4h', 'recVHDCtHHtLqrcav']","
",True,Cyber-bulling,"['recmix7Q4bXTDyPKG', 'recvv4oG200ybCvR4']","['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz', 'recY1Qq7bQckKPk0z']",['xlsx'],['Rate'],,['Survey'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PP_CHLD_VICTIM_CB....&startPeriod=2014&endPeriod=2024&_gl=1*1f58zuf*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDEwMDMyMy42MC4wLjA>.
",['recbOtjlhi9hpt8b7'],24,30,"'24Percentage of 11-, 13- and 15-year-old school children who report having been a victim of cyber-bullying'","OECD, WHO","Health Behaviour in School-aged Children (HBSC) World Health Organization Collaborative Cross-National Survey, TransMonEE Database",Composite phoenomena,"AV - Age of the victim, SV - Sex of the victim, Set - Settings","Austria, Belgium, Bulgaria, Switzerland, Czechia, Germany, Denmark, Spain, Estonia, Finland, France, Greece, Croatia, Hungary, Ireland, Iceland, Italy, Lithuania, Luxembourg, Latvia, Netherlands (Kingdom of the), Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Sweden, Türkiye, United Kingdom of Great Britain and Northern Ireland","""12 - HBSC - Percentage of 11-, 13- and 15-year-old school children who report having been a victim of cyber-bullying""","['AUT', 'BEL', 'BGR', 'CHE', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'LTU', 'LUX', 'LVA', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'TUR', 'GBR']",[10],,
"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","['rect7um7Tj1pktlut', 'recOUw8ElgEaLd7aq', 'recg4JZtvmJitt8sK', 'recewEvWRKm3rG4qR', 'recGkCDST8vV2LlZs', 'recfkofrbcdgPSPZz', 'rectXemHhITSmpRLO', 'reca5LhwpMPGObRok', 'rec9rMUxs3VetD9r8', 'recuZ4np04sXJsqs9', 'recFr9YIVx1EQyFUX', 'reclCwMbYWFnsM80B', 'recpipBmt2yDyF6YY', 'recALAGkSiKf3nBjb', 'recIk7aBuMBN98eKt', 'recnUWgEpQSImampU', 'recCVQVepXIxpRx5U', 'recA6MMaVV5a6FPai', 'recdoeHtHvq9L1RVv', 'recZ1BTkAGbF6m7Ya', 'recq1T1XlSuSitU5F', 'rec9uOmoTB0Jqgd0U', 'recBwqYAOhM5RuE58', 'recE7fj7YKhIbb8Uj']",Number of child victims of crime (0-17 years) registered by the police during the year,True,10.0,"['Trends', 'Analysis']",['recRNNpbea1t5UrGc'],['rechvPDOnRP36ZJVF'],"[ ] Add in excel

",True,Child victim,['recVmlmwwbziufrEx'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Victim'],True,['Administrative'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.JJ_CHLD_VICTIM_CRIME....&startPeriod=2014&endPeriod=2024&_gl=1*1fiy9q4*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDEwMDk1MC42MC4wLjA>.
",['recEHgTNB8pgysZsv'],26,24,'26Number of child victims of crime (0-17 years) registered by the police during the year',UNICEF,TMEE Data Collection: 2023 Publication,Other acts of violence against a child not elsewhere classified,"AV - Age of the victim, SV - Sex of the victim","Hungary, Poland, Slovakia, Slovenia, Latvia, Lithuania, Bulgaria, Albania, Bosnia and Herzegovina, Croatia, Montenegro, Serbia, North Macedonia, Belarus, Republic of Moldova, Russian Federation, Ukraine, Armenia, Azerbaijan, Georgia, Kazakhstan, Kyrgyzstan, Tajikistan, Kosovo",21 - UNICEF - Number of child victims of crime (0-17 years) registered by the police during the year,"['HUN', 'POL', 'SVK', 'SVN', 'LVA', 'LTU', 'BGR', 'ALB', 'BIH', 'HRV', 'MNE', 'SRB', 'MKD', 'BLR', 'MDA', 'RUS', 'UKR', 'ARM', 'AZE', 'GEO', 'KAZ', 'KGZ', 'TJK', 'XKX']",[9],,
"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","['rect7um7Tj1pktlut', 'recg4JZtvmJitt8sK', 'recewEvWRKm3rG4qR', 'recfkofrbcdgPSPZz', 'rectXemHhITSmpRLO', 'recKo7MyQkGLwTLh5', 'reca5LhwpMPGObRok', 'recuZ4np04sXJsqs9', 'recFr9YIVx1EQyFUX', 'reclCwMbYWFnsM80B', 'recpipBmt2yDyF6YY', 'recIk7aBuMBN98eKt', 'recA6MMaVV5a6FPai', 'recZ1BTkAGbF6m7Ya', 'recBwqYAOhM5RuE58', 'recE7fj7YKhIbb8Uj']",Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,True,11.0,"['Analysis', 'Trends']",['recRNNpbea1t5UrGc'],['rechvPDOnRP36ZJVF'],,True,Child victim,['recVmlmwwbziufrEx'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Victim'],True,['Administrative'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PT_CHLD_VIOLENCE_WELFARE....&startPeriod=2014&endPeriod=2024&_gl=1*1d0o1dn*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDEwMTAwMy43LjAuMA>..
",['recIBXXwWKQ3b2xlZ'],27,16,'27Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year',UNICEF,TMEE Data Collection: 2023 Publication,Other acts of violence against a child not elsewhere classified,"AV - Age of the victim, SV - Sex of the victim","Hungary, Slovakia, Slovenia, Lithuania, Bulgaria, Romania, Albania, Croatia, Montenegro, Serbia, North Macedonia, Republic of Moldova, Armenia, Georgia, Tajikistan, Kosovo",22 - UNICEF - Number of child victims of violence (0-17 years) registered by child/social welfare authorities during the year,"['HUN', 'SVK', 'SVN', 'LTU', 'BGR', 'ROU', 'ALB', 'HRV', 'MNE', 'SRB', 'MKD', 'MDA', 'ARM', 'GEO', 'TJK', 'XKX']",[9],,
"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","['rect7um7Tj1pktlut', 'recGkCDST8vV2LlZs', 'recfkofrbcdgPSPZz', 'rectXemHhITSmpRLO', 'recKo7MyQkGLwTLh5', 'reclCwMbYWFnsM80B', 'recA6MMaVV5a6FPai', 'recZ1BTkAGbF6m7Ya', 'rec9uOmoTB0Jqgd0U']",Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,True,12.0,"['Trends', 'Analysis']",['recRNNpbea1t5UrGc'],['rechvPDOnRP36ZJVF'],,True,Child victim,['recVmlmwwbziufrEx'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Victim'],True,['Administrative'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PT_CHLD_VIOLENCE_HEALTHCARE....&startPeriod=2014&endPeriod=2024&_gl=1*18734xq*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDEwMTU4NS41My4wLjA>.
",['recYbsqVKOMujLJ3C'],28,9,'28Number of child victims of violence (0-17 years) registered by healthcare authorities during the year',UNICEF,TMEE Data Collection: 2023 Publication,Other acts of violence against a child not elsewhere classified,"AV - Age of the victim, SV - Sex of the victim","Hungary, Latvia, Lithuania, Bulgaria, Romania, Serbia, Armenia, Georgia, Kyrgyzstan",23 - UNICEF - Number of child victims of violence (0-17 years) registered by healthcare authorities during the year,"['HUN', 'LVA', 'LTU', 'BGR', 'ROU', 'SRB', 'ARM', 'GEO', 'KGZ']",[9],,
"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022']","['rect7um7Tj1pktlut', 'recfkofrbcdgPSPZz', 'rectXemHhITSmpRLO', 'recuZ4np04sXJsqs9', 'reclCwMbYWFnsM80B', 'recpipBmt2yDyF6YY', 'recA6MMaVV5a6FPai', 'recZ1BTkAGbF6m7Ya', 'recE7fj7YKhIbb8Uj']",Number of child victims of violence (0-17 years) registered by education authorities during the year,True,13.0,"['Trends', 'Analysis']",['recRNNpbea1t5UrGc'],['rechvPDOnRP36ZJVF'],,True,Child victim,['recVmlmwwbziufrEx'],"['rec4o2Dl46v1kcQ2U', 'recXFtPp7OTueASfz']",['xlsx'],['Victim'],True,['Administrative'],"<https://www.unicef.org/transmonee/database-explorer?&dq=.PT_CHLD_VIOLENCE_EDUCATION....&startPeriod=2014&endPeriod=2024&_gl=1*16gkjpu*_ga*NzUxNzg3OTUwLjE3MTg2OTk5ODE.*_ga_ZEPV2PX419*MTcyMDA5ODAxMi4zLjEuMTcyMDEwMTU5OC40MC4wLjA>.
",['recPJLnKLi9vdelHD'],29,9,'29Number of child victims of violence (0-17 years) registered by education authorities during the year',UNICEF,TMEE Data Collection: 2023 Publication,Other acts of violence against a child not elsewhere classified,"AV - Age of the victim, SV - Sex of the victim","Hungary, Lithuania, Bulgaria, Croatia, Serbia, North Macedonia, Armenia, Georgia, Kosovo",24 - UNICEF - Number of child victims of violence (0-17 years) registered by education authorities during the year,"['HUN', 'LTU', 'BGR', 'HRV', 'SRB', 'MKD', 'ARM', 'GEO', 'XKX']",[9],,
