Category,Country,Count
Composite phoenomena,Albania,25
Composite phoenomena,Croatia,24
Composite phoenomena,Lithuania,21
Composite phoenomena,Kazakhstan,16
Composite phoenomena,Serbia,16
Composite phoenomena,Ukraine,16
Composite phoenomena,North Macedonia,15
Composite phoenomena,Georgia,14
Composite phoenomena,Romania,14
Composite phoenomena,Türkiye,14
Composite phoenomena,Armenia,13
Composite phoenomena,Belarus,13
Composite phoenomena,Bosnia and Herzegovina,13
Composite phoenomena,France,13
Composite phoenomena,Poland,13
Composite phoenomena,Republic of Moldova,13
Composite phoenomena,Switzerland,13
Composite phoenomena,Austria,12
Composite phoenomena,Belgium,12
Composite phoenomena,Bulgaria,12
Composite phoenomena,Czechia,12
Composite phoenomena,Denmark,12
Composite phoenomena,Estonia,12
Composite phoenomena,Finland,12
Composite phoenomena,Germany,12
Composite phoenomena,Greece,12
Composite phoenomena,Hungary,12
Composite phoenomena,Iceland,12
Composite phoenomena,Ireland,12
Composite phoenomena,Italy,12
Composite phoenomena,Kosovo,12
Composite phoenomena,Kyrgyzstan,12
Composite phoenomena,Latvia,12
Composite phoenomena,Montenegro,12
Composite phoenomena,Netherlands (Kingdom of the),12
Composite phoenomena,Norway,12
Composite phoenomena,Portugal,12
Composite phoenomena,Slovakia,12
Composite phoenomena,Slovenia,12
Composite phoenomena,Spain,12
Composite phoenomena,Sweden,12
Composite phoenomena,Turkmenistan,12
Composite phoenomena,United Kingdom of Great Britain and Northern Ireland,12
Composite phoenomena,Luxembourg,11
Composite phoenomena,Azerbaijan,10
Composite phoenomena,Malta,10
Composite phoenomena,Russian Federation,10
Composite phoenomena,Tajikistan,10
Composite phoenomena,Uzbekistan,9
Composite phoenomena,Holy See,7
Composite phoenomena,Liechtenstein,7
Composite phoenomena,Cyprus,5
Composite phoenomena,San Marino,2
Neglect of a child,Bulgaria,1
Other acts of violence against a child not elsewhere classified,Croatia,27
Other acts of violence against a child not elsewhere classified,Montenegro,13
Other acts of violence against a child not elsewhere classified,Albania,10
Other acts of violence against a child not elsewhere classified,Armenia,10
Other acts of violence against a child not elsewhere classified,Bulgaria,10
Other acts of violence against a child not elsewhere classified,Lithuania,10
Other acts of violence against a child not elsewhere classified,Ukraine,9
Other acts of violence against a child not elsewhere classified,Georgia,7
Other acts of violence against a child not elsewhere classified,Hungary,7
Other acts of violence against a child not elsewhere classified,Republic of Moldova,6
Other acts of violence against a child not elsewhere classified,Kosovo,5
Other acts of violence against a child not elsewhere classified,Poland,5
