"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","RelationshipPerpetrator","Source","Dataset","ICVACCategory"
"Albania","ALB","Victims of intentional homicide",2005,19,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2005,4,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2005,56,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2005,38,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2005,72,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2005,157,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2005,1,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2005,111,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2005,9,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2006,23,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2006,4,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2006,40,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2006,43,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2006,65,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2006,193,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2006,66,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2006,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2006,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2006,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2006,115,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2006,7,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
