"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","Comments","Reliability","WealthQuintile"
"Albania","ALB","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",47.5,"Total","1-14","Rate","DHS 2017-18","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Albania","ALB","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",45.4,"Female","1-14","Rate","DHS 2017-18","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Albania","ALB","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",49.4,"Male","1-14","Rate","DHS 2017-18","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Armenia","ARM","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",68.9,"Total","1-14","Rate","DHS 2015-16","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Armenia","ARM","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",66.8,"Female","1-14","Rate","DHS 2015-16","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Armenia","ARM","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",70.8,"Male","1-14","Rate","DHS 2015-16","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Austria","AUT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Austria","AUT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Austria","AUT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Azerbaijan","AZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",76.8,"Total","1-14","Rate","DHS 2006","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Azerbaijan","AZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",73.8,"Female","1-14","Rate","DHS 2006","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Azerbaijan","AZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",80,"Male","1-14","Rate","DHS 2006","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Belarus","BLR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",57,"Total","1-14","Rate","MICS 2019","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Belarus","BLR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",54.6,"Female","1-14","Rate","MICS 2019","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Belarus","BLR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",59.2,"Male","1-14","Rate","MICS 2019","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Belgium","BEL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Belgium","BEL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Belgium","BEL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Bosnia and Herzegovina","BIH","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",55.2,"Total","1-14","Rate","MICS 2011-12","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Bosnia and Herzegovina","BIH","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",49.5,"Female","1-14","Rate","MICS 2011-12","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Bosnia and Herzegovina","BIH","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",60.4,"Male","1-14","Rate","MICS 2011-12","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Bulgaria","BGR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Bulgaria","BGR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Bulgaria","BGR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Croatia","HRV","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Croatia","HRV","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Croatia","HRV","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Cyprus","CYP","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Cyprus","CYP","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Cyprus","CYP","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Czechia","CZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Czechia","CZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Czechia","CZE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Denmark","DNK","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Denmark","DNK","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Denmark","DNK","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Estonia","EST","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Estonia","EST","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
