"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","WealthQuintile","IDPstatus","SettlementType","Comments","Reliability"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.753484,"Female","15-49","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.138944,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",5.081727,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",11.4754,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",3.251342,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",1.287037,"Female","15-19","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Caveats should be provided in terms of the level of reliability of the estimate (CV>33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",2.847314,"Female","20-24","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.292746,"Female","25-29","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.42256,"Female","30-34","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",8.245154,"Female","35-39","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",6.374659,"Female","40-44","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",5.522758,"Female","45-49","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",NA,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",NA,"Female",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",6.042492,"Male","15-49","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",6.117022,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",6.006319,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",12.49978,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.738327,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.969236,"Male","15-19","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.468989,"Male","20-24","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",4.207557,"Male","25-29","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",8.343971,"Male","30-34","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",5.200946,"Male","35-39","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",9.49328,"Male","40-44","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",6.322919,"Male","45-49","Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",NA,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",NA,"Male",NA,"Rate","MICS 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",43.49559,"Female","15-49","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",52.99571,"Female",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",42.01334,"Female",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",48.19292,"Female",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",38.02928,"Female",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",41.21962,"Female","15-19","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",40.48829,"Female","20-24","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",42.78461,"Female","25-29","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",44.80302,"Female","30-34","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",43.15434,"Female","35-39","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",51.3767,"Female","40-44","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",44.57692,"Female","45-49","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",21.06816,"Male","15-49","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
