"Country","ISO3","Year","Sex","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","WealthQuintile"
"Armenia","ARM","2016","Female","15-49","Ever experienced physical violence since age 15","Rate",5.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-19","Ever experienced physical violence since age 15","Rate",0,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","20-24","Ever experienced physical violence since age 15","Rate",1.2,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","25-29","Ever experienced physical violence since age 15","Rate",4.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","30-34","Ever experienced physical violence since age 15","Rate",5.7,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","35-39","Ever experienced physical violence since age 15","Rate",11.8,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","40-44","Ever experienced physical violence since age 15","Rate",8,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","45-49","Ever experienced physical violence since age 15","Rate",11.6,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.4,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
