"Country","ISO3","Year","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","Reliability","Sex","WealthQuintile","RelationshipPerpetrator"
"Austria","AUT","2021","18-29","Women who have experienced sexual violence during childhood","Rate",5.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Belgium","BEL","2021","18-29","Women who have experienced sexual violence during childhood","Rate",9.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Bulgaria","BGR","2021","18-29","Women who have experienced sexual violence during childhood","Rate",8.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Denmark","DNK","2021","18-29","Women who have experienced sexual violence during childhood","Rate",14.3,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Estonia","EST","2021","18-29","Women who have experienced sexual violence during childhood","Rate",6.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Greece","GRC","2021","18-29","Women who have experienced sexual violence during childhood","Rate",7.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Spain","ESP","2021","18-29","Women who have experienced sexual violence during childhood","Rate",6.7,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Finland","FIN","2021","18-29","Women who have experienced sexual violence during childhood","Rate",14.6,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"France","FRA","2021","18-29","Women who have experienced sexual violence during childhood","Rate",11,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Croatia","HRV","2021","18-29","Women who have experienced sexual violence during childhood","Rate",4.5,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Lithuania","LTU","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Latvia","LVA","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Montenegro","MNE","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Malta","MLT","2021","18-29","Women who have experienced sexual violence during childhood","Rate",3.9,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Netherlands (Kingdom of the)","NLD","2021","18-29","Women who have experienced sexual violence during childhood","Rate",11.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Poland","POL","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Portugal","PRT","2021","18-29","Women who have experienced sexual violence during childhood","Rate",3.9,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Serbia","SRB","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Slovenia","SVN","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Slovakia","SVK","2021","18-29","Women who have experienced sexual violence during childhood","Rate",10.7,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Kosovo","XKX","2021","18-29","Women who have experienced sexual violence during childhood","Rate",NA,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH","Low","Female",NA,NA
"Austria","AUT","2021","18-74","Women who have experienced sexual violence during childhood","Rate",7.1,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Belgium","BEL","2021","18-74","Women who have experienced sexual violence during childhood","Rate",8.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Bulgaria","BGR","2021","18-74","Women who have experienced sexual violence during childhood","Rate",2.2,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
"Denmark","DNK","2021","18-74","Women who have experienced sexual violence during childhood","Rate",12.4,"EU-GBV 2021","Sexual violence against a child","EUROSTAT_GBV_CH",NA,"Female",NA,NA
