"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","WealthQuintile","IDPstatus","SettlementType","Comments","Reliability"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",42.05427,"Total",NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",47.77315,"Male",NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",35.76514,"Female",NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",40.77444,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,"Urban"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",42.64381,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",46.2897,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child","Poorest (Q1)",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",40.50989,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child","Richest (Q5)",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,"<1","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",25.94885,NA,"2","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",35.06752,NA,"3","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",36.02768,NA,"4","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",44.12171,NA,"5-9","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",43.54142,NA,"10-14","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,"15-17","Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,NA,"Rate","MICS 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",49.19297,"Total",NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",51.06736,"Male",NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",47.17642,"Female",NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",72.02023,NA,NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,"Urban"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",45.14453,NA,NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",48.16605,NA,NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child","Poorest (Q1)",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",48.74996,NA,NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child","Richest (Q5)",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,"<1","Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",998,NA,NA,"Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",31.89761,NA,"2","Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",38.72454,NA,"3","Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Violent discipline - Any psychological aggression","2012",45.82584,NA,"4","Rate","MICS Roma settlements 2011-12","MICS-PSY-VIOLENCE","Psychological violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
