"Country","ISO3","Year","Sex","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","Comments"
"Hungary","HUN",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",11172,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",9856,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",8940,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",7346,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",5824,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",6310,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",5826,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Hungary","HUN",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",5878,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Due to methodological changes, data until 30 June 2018 refer to victims, from 1 July 2018 to victimization incidents (registered by police and other investigative authorities e.g. prosecution service in some cases)."
"Poland","POL",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",24362,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",32580,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",74670,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",67285,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",55047,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",55324,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",50568,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Slovakia","SVK",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1282,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1361,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1299,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1280,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1182,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1060,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovakia","SVK",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",974,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Included children aged 18 years old. The data are partial: victims of groups of 2 and more children are not counted."
"Slovenia","SVN",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2138,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2254,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2206,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
